,mother_node,title_steam,app_id,user_rating,game_spcs,percent,reivew_users,keywords_list,genre_list,no_dlc,dlc_av,rank_no,current,all_time,24_peak,time_diff,YEAR,price,DATE,unique,Indie,Action_g,Adventure_g,Strategy,Simulation,RPG,Casual,Early Access,Sports,Violent,Racing,Singleplayer,Multiplayer,Great Soundtrack,Atmospheric,Story Rich,Open World,2D,Co-op,Sci-fi,Adventure_k,Fantasy,Puzzle,First-Person,Shooter,Difficult,Funny,Classic,Sandbox,Horror,Female Protagonist,FPS,Pixel Graphics,Comedy,Survival,Third Person,Anime,Platformer,Action_k,Turn-Based,Exploration,total_key,agreement,retention
1621,NEStalgia,NEStalgia,249550,Mostly Positive,"Single-player,Multi-player,MMO,Co-op,Online Co-op",77.0,187.0,"RPG, Massively Multiplayer, Retro, Indie, Pixel Graphics, Multiplayer, Turn-Based, JRPG, Adventure","Indie, Massively Multiplayer, RPG",0.0,0.0,4130,5.0,441.0,9.0,1118 days 00:00:00.000000000,2014.0,9.99,2014-04-15,"Pixel Graphics, Multiplayer, Retro, Turn-Based, JRPG, Adventure",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,9.0,0.333333333333,1.13378684807
1622,NGHTMN,NGHTMN,628420,,"Single-player,Steam Achievements,Steam Trading Cards",,,"Indie, Casual, Adventure, Platformer, 2D, Pixel Graphics","Indie, Adventure, Casual",0.0,0.0,7344,8.0,630.0,630.0,6 days 00:00:00.000000000,2017.0,0.99,2017-05-01,"2D, Pixel Graphics, Platformer",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6.0,0.5,1.26984126984
1623,NOBUNAGA'S AMBITION: Sphere of Influence,NOBUNAGA'S AMBITION: Sphere of Influence,392470,Very Positive,"Single-player,Steam Trading Cards,Steam Cloud",83.0,354.0,"Strategy, Historical, Grand Strategy, Singleplayer, Simulation",Strategy,0.0,0.0,2380,34.0,1166.0,45.0,614 days 00:00:00.000000000,2015.0,59.99,2015-09-01,"Grand Strategy, Singleplayer, Historical, Simulation",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.2,2.91595197256
1624,NOT A HERO,NOT A HERO,274270,Very Positive,"Single-player,Steam Trading Cards,Partial Controller Support",87.0,1063.0,"Indie, Action, Pixel Graphics, Adventure, Comedy, Shooter, 2D, Political, Great Soundtrack, Funny, Singleplayer, Gore, Difficult, Fast-Paced, Platformer, Multiplayer","Action, Adventure, Indie",0.0,0.0,4629,4.0,224.0,10.0,724 days 00:00:00.000000000,2015.0,12.99,2015-05-14,"Funny, Multiplayer, Great Soundtrack, Fast-Paced, Pixel Graphics, Shooter, Political, Singleplayer, 2D, Platformer, Gore, Comedy, Difficult",1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,16.0,0.1875,1.78571428571
1625,Namariel Legends: Iron Lord Premium Edition,Namariel Legends: Iron Lord Premium Edition,302730,Positive,Single-player,86.0,22.0,"Adventure, Casual, Point & Click, Steampunk, Hidden Object","Adventure, Casual",0.0,0.0,5611,2.0,10.0,5.0,1432 days 00:00:00.000000000,2013.0,6.99,2013-06-05,"Point & Click, Hidden Object, Steampunk",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.4,20.0
1626,Nameless ~The one thing you must recall~,Nameless ~The one thing you must recall~,337930,Very Positive,"Single-player,Steam Trading Cards,Steam Cloud",95.0,268.0,"Otome, Dating Sim, Simulation, Visual Novel, Anime, Female Protagonist, Romance",Simulation,0.0,0.0,3287,16.0,59.0,25.0,1273 days 00:00:00.000000000,2013.0,29.99,2013-11-11,"Otome, Dating Sim, Visual Novel, Romance, Anime, Female Protagonist",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,7.0,0.142857142857,27.1186440678
1627,Nancy Drew: Alibi in Ashes,Nancy Drew: Alibi in Ashes,202670,Positive,Single-player,82.0,28.0,"Adventure, Point & Click, Mystery, Female Protagonist",Adventure,0.0,0.0,4647,2.0,21.0,4.0,2013 days 00:00:00.000000000,2011.0,6.99,2011-11-02,"Mystery, Point & Click, Female Protagonist",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.0,0.25,9.52380952381
1628,Nancy Drew: Curse of Blackmoor Manor,Nancy Drew: Curse of Blackmoor Manor,31830,Positive,Single-player,100.0,30.0,"Adventure, Point & Click, Mystery, Female Protagonist, Puzzle, Detective",Adventure,0.0,0.0,4070,4.0,24.0,7.0,4577 days 00:00:00.000000000,2004.0,6.99,2004-10-25,"Mystery, Detective, Puzzle, Female Protagonist, Point & Click",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.0,0.166666666667,16.6666666667
1629,Nancy Drew: Ghost Dogs of Moon Lake,Nancy Drew: Ghost Dogs of Moon Lake,31850,Positive,Single-player,94.0,17.0,"Adventure, Point & Click, Mystery, Female Protagonist",Adventure,0.0,0.0,4772,2.0,14.0,8.0,5293 days 00:00:00.000000000,2002.0,6.99,2002-11-09,"Mystery, Point & Click, Female Protagonist",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.0,0.25,14.2857142857
1630,Nancy Drew: Labyrinth of Lies,Nancy Drew: Labyrinth of Lies,572710,,Single-player,,,Adventure,Adventure,0.0,0.0,4139,2.0,5.0,3.0,936 days 00:00:00.000000000,2014.0,19.99,2014-10-14,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,40.0
1631,Nancy Drew: Last Train to Blue Moon Canyon,Nancy Drew: Last Train to Blue Moon Canyon,31810,Positive,Single-player,94.0,18.0,"Adventure, Point & Click, Mystery, Female Protagonist, Puzzle",Adventure,0.0,0.0,5738,1.0,15.0,3.0,4219 days 00:00:00.000000000,2005.0,6.99,2005-10-18,"Mystery, Point & Click, Female Protagonist, Puzzle",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.0,0.2,6.66666666667
1632,Nancy Drew: Legend of the Crystal Skull,Nancy Drew: Legend of the Crystal Skull,31860,Positive,Single-player,91.0,12.0,"Adventure, Point & Click, Mystery, Female Protagonist, Puzzle, Detective",Adventure,0.0,0.0,4073,6.0,13.0,6.0,3506 days 00:00:00.000000000,2007.0,6.99,2007-10-01,"Mystery, Detective, Puzzle, Female Protagonist, Point & Click",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.0,0.166666666667,46.1538461538
1633,Nancy Drew: Message in a Haunted Mansion,Nancy Drew: Message in a Haunted Mansion,615770,,"Single-player,Captions available",,,Adventure,Adventure,0.0,0.0,4074,1.0,3.0,3.0,6017 days 00:00:00.000000000,2000.0,9.99,2000-11-15,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,33.3333333333
1634,Nancy Drew: Ransom of the Seven Ships,Nancy Drew: Ransom of the Seven Ships,31980,,"Single-player,Steam Achievements",64.0,14.0,"Adventure, Point & Click, Puzzle, Mystery, Female Protagonist",Adventure,0.0,0.0,5726,2.0,15.0,5.0,2847 days 00:00:00.000000000,2009.0,6.99,2009-07-21,"Mystery, Point & Click, Puzzle, Female Protagonist",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.0,0.2,13.3333333333
1635,Nancy Drew: Secret of the Scarlet Hand,Nancy Drew: Secret of the Scarlet Hand,31890,,Single-player,,,"Action, Point & Click, Female Protagonist, Puzzle, Mystery, Adventure",Action,0.0,0.0,4775,1.0,17.0,5.0,5359 days 00:00:00.000000000,2002.0,6.99,2002-09-04,"Mystery, Point & Click, Puzzle, Female Protagonist, Adventure",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.0,0.166666666667,5.88235294118
1636,Nancy Drew: Secrets Can Kill REMASTERED,Nancy Drew: Secrets Can Kill REMASTERED,42210,Mostly Positive,Single-player,70.0,40.0,"Adventure, Point & Click, Female Protagonist, Mystery",Adventure,0.0,0.0,3125,3.0,16.0,5.0,2448 days 00:00:00.000000000,2010.0,6.99,2010-08-24,"Mystery, Point & Click, Female Protagonist",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.0,0.25,18.75
1637,Nancy Drew: Shadow at the Water's Edge,Nancy Drew: Shadow at the Water's Edge,200080,Positive,Single-player,85.0,48.0,"Adventure, Point & Click, Mystery, Female Protagonist, Puzzle",Adventure,0.0,0.0,4644,4.0,30.0,10.0,2392 days 00:00:00.000000000,2010.0,6.99,2010-10-19,"Mystery, Point & Click, Female Protagonist, Puzzle",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.0,0.2,13.3333333333
1638,Nancy Drew: The Haunted Carousel,Nancy Drew: The Haunted Carousel,31820,Positive,Single-player,86.0,22.0,"Adventure, Point & Click, Mystery, Female Protagonist, Puzzle, Detective",Adventure,0.0,0.0,5730,3.0,14.0,4.0,5007 days 00:00:00.000000000,2003.0,6.99,2003-08-22,"Mystery, Detective, Puzzle, Female Protagonist, Point & Click",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.0,0.166666666667,21.4285714286
1639,Nancy Drew: The Haunting of Castle Malloy,Nancy Drew: The Haunting of Castle Malloy,31910,Positive,Single-player,84.0,19.0,"Adventure, Point & Click, Puzzle, Mystery, Female Protagonist, Detective",Adventure,0.0,0.0,3759,2.0,14.0,7.0,2989 days 00:00:00.000000000,2009.0,6.99,2009-03-01,"Mystery, Detective, Puzzle, Female Protagonist, Point & Click",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.0,0.166666666667,14.2857142857
1640,Nancy Drew: The Phantom of Venice,Nancy Drew: The Phantom of Venice,31920,Positive,Single-player,91.0,12.0,"Adventure, Point & Click, Puzzle, Mystery, Female Protagonist",Adventure,0.0,0.0,1723,3.0,15.0,4.0,3232 days 00:00:00.000000000,2008.0,6.99,2008-07-01,"Mystery, Point & Click, Puzzle, Female Protagonist",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.0,0.2,20.0
1641,Nancy Drew: Warnings at Waverly Academy,Nancy Drew: Warnings at Waverly Academy,43600,Positive,"Single-player,Steam Achievements",85.0,27.0,"Adventure, Point & Click, Mystery, Female Protagonist, Puzzle",Adventure,0.0,0.0,4785,4.0,22.0,5.0,2671 days 00:00:00.000000000,2010.0,6.99,2010-01-13,"Mystery, Point & Click, Female Protagonist, Puzzle",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.0,0.2,18.1818181818
1642,Nancy's Summer VR,Nancy's Summer VR,563760,Mostly Positive,Single-player,78.0,73.0,"Casual, RPG, Sexual Content, VR","RPG, Casual",0.0,0.0,4310,2.0,14.0,4.0,145 days 00:00:00.000000000,2016.0,9.99,2016-12-13,"VR, Sexual Content",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.5,14.2857142857
1643,Narcissu 10th Anniversary Anthology Project,Narcissu 10th Anniversary Anthology Project,426690,Very Positive,Single-player,100.0,107.0,"Indie, Casual, Visual Novel, Anime, Story Rich, Great Soundtrack","Indie, Casual",0.0,0.0,6979,2.0,41.0,7.0,466 days 00:00:00.000000000,2016.0,2.99,2016-01-27,"Story Rich, Anime, Visual Novel, Great Soundtrack",1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.0,0.333333333333,4.87804878049
1644,Narcosis,Narcosis,366870,Very Positive,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud",84.0,125.0,"Adventure, Indie, Horror, First-Person, Atmospheric, Survival Horror, Psychological Horror, Mystery, Underwater, VR, Great Soundtrack, Surreal","Indie, Adventure",0.0,0.0,1202,8.0,67.0,8.0,40 days 00:00:00.000000000,2017.0,19.99,2017-03-28,"Mystery, Underwater, Atmospheric, Great Soundtrack, Horror, Psychological Horror, Surreal, VR, First-Person, Survival Horror",1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.0,0.166666666667,11.9402985075
1645,Nash Racing,Nash Racing,581200,,"Single-player,Steam Trading Cards,Partial Controller Support",,,"Early Access, Indie, Racing","Indie, Racing, Early Access",0.0,0.0,7176,4.0,810.0,7.0,96 days 00:00:00.000000000,2017.0,3.99,2017-01-31,,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1.0,0.493827160494
1646,Nation Red,Nation Red,39800,Very Positive,"Single-player,Multi-player,Co-op,Online Co-op,Local Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards",89.0,1521.0,"Zombies, Action, Indie, Top-Down Shooter, Online Co-Op, Twin Stick Shooter, Local Co-Op, Survival, Co-op, Gore, 4 Player Local, Arcade, Shoot 'Em Up, Horror, Multiplayer","Action, Indie",0.0,0.0,5526,15.0,487.0,23.0,2449 days 00:00:00.000000000,2010.0,1.99,2010-08-23,"Co-op, Twin Stick Shooter, Arcade, Shoot 'Em Up, Survival, Multiplayer, 4 Player Local, Online Co-Op, Gore, Zombies, Top-Down Shooter, Local Co-Op, Horror",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,15.0,0.133333333333,3.08008213552
1647,Natural Selection 2,Natural Selection 2,4920,Very Positive,"Multi-player,Online Multi-Player,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Valve Anti-Cheat enabled,Includes level editor",85.0,5254.0,"Strategy, Multiplayer, FPS, Team-Based, Action, Sci-fi, RTS, Indie, Aliens, Competitive, Moddable, Shooter, Co-op, Tactical, First-Person, Space, Atmospheric, Online Co-Op, Futuristic, Adventure","Action, Indie, Strategy",0.0,0.0,953,297.0,1943.0,342.0,1650 days 00:00:00.000000000,2012.0,9.99,2012-10-30,"Shooter, Atmospheric, Sci-fi, Team-Based, Aliens, Multiplayer, Competitive, RTS, Moddable, Co-op, Space, Adventure, FPS, Tactical, First-Person, Online Co-Op, Futuristic",1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20.0,0.15,15.2856407617
1648,Nature Treks VR,Nature Treks VR,587580,Mostly Positive,"Single-player,Full controller support",78.0,19.0,"Casual, Simulation, VR","Casual, Simulation",0.0,0.0,611,4.0,7.0,7.0,3 days 00:00:00.000000000,2017.0,5.99,2017-05-04,VR,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.666666666667,57.1428571429
1649,Naval Action,Naval Action,311310,Mostly Positive,"Multi-player,MMO",72.0,2464.0,"Early Access, Naval, Open World, Massively Multiplayer, Simulation, Pirates, Strategy, Historical, Action, Adventure, Multiplayer, Indie, Sailing, Sandbox, Realistic, Military, Atmospheric, PvP, Co-op, Singleplayer","Indie, Massively Multiplayer, Strategy, Adventure, Action, Simulation, Early Access",0.0,0.0,357,265.0,5222.0,340.0,472 days 00:00:00.000000000,2016.0,39.99,2016-01-21,"PvP, Co-op, Atmospheric, Pirates, Sailing, Singleplayer, Multiplayer, Realistic, Sandbox, Historical, Military, Open World, Naval",1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.35,5.07468402911
1650,Need For Drink,Need For Drink,613730,Very Positive,"Single-player,Multi-player,Steam Achievements,Steam Trading Cards,Partial Controller Support",81.0,196.0,"Early Access, Action, Casual, Simulation, Adventure","Action, Early Access, Casual, Adventure, Simulation",0.0,0.0,5743,9.0,68.0,20.0,23 days 00:00:00.000000000,2017.0,0.99,2017-04-14,,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,1.0,13.2352941176
1651,Need For Speed: Hot Pursuit,Need For Speed: Hot Pursuit,47870,Very Positive,"Single-player,Multi-player",80.0,7363.0,"Racing, Multiplayer, Driving, Open World, Action, Singleplayer, Arcade, Great Soundtrack, Simulation, Controller, Co-op, Remake, Atmospheric, Massively Multiplayer, Adventure, Funny, FPS",Racing,0.0,0.0,1326,146.0,3005.0,252.0,2364 days 00:00:00.000000000,2010.0,19.99,2010-11-16,"Funny, Co-op, Atmospheric, Arcade, Driving, Singleplayer, Massively Multiplayer, Great Soundtrack, Multiplayer, Simulation, Controller, Adventure, FPS, Remake, Action, Open World",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,17.0,0.0588235294118,4.85856905158
1652,Need for Speed Undercover,Need for Speed Undercover,17430,,"Single-player,Multi-player,Partial Controller Support",68.0,1828.0,"Racing, Open World, Multiplayer, Action, Arcade, Driving, Singleplayer, Story Rich, Free to Play, Simulation","Action, Racing",0.0,0.0,3122,51.0,426.0,100.0,3092 days 00:00:00.000000000,2008.0,9.99,2008-11-18,"Arcade, Driving, Singleplayer, Multiplayer, Simulation, Story Rich, Open World, Free to Play",0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,0.2,11.9718309859
1653,Need for Speed: Shift,Need for Speed: Shift,24870,Mostly Positive,"Single-player,Multi-player",71.0,843.0,"Racing, Simulation, Multiplayer, Arcade, Driving, Action, Open World",Racing,0.0,0.0,2346,25.0,276.0,40.0,2791 days 00:00:00.000000000,2009.0,19.99,2009-09-15,"Arcade, Driving, Multiplayer, Simulation, Action, Open World",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0,0.142857142857,9.05797101449
1654,Nefarious,Nefarious,448290,Very Positive,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud",81.0,157.0,"Indie, Adventure, Action, Villain Protagonist, Platformer","Action, Indie, Adventure",0.0,0.0,2200,2.0,123.0,4.0,104 days 00:00:00.000000000,2017.0,14.99,2017-01-23,"Platformer, Villain Protagonist",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.0,0.6,1.62601626016
1655,Negligee,Negligee,432100,Very Positive,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support",87.0,198.0,"Sexual Content, Nudity, Anime, Mature, Visual Novel, Casual, Dating Sim, Indie, Cute","Indie, Nudity, Casual, Adventure, Sexual Content",6.0,1.0,2377,4.0,218.0,8.0,200 days 00:00:00.000000000,2016.0,12.99,2016-10-19,"Mature, Cute, Visual Novel, Dating Sim, Anime",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.0,0.4,1.83486238532
1656,Neighbours from Hell Compilation,Neighbours from Hell Compilation,260750,Overwhelmingly Positive,"Single-player,Steam Cloud",97.0,657.0,"Comedy, Casual, Adventure, Point & Click, Classic, Puzzle, Funny, Singleplayer, Stealth, Strategy","Adventure, Casual",0.0,0.0,5006,3.0,70.0,13.0,4825 days 00:00:00.000000000,2004.0,9.99,2004-02-20,"Funny, Singleplayer, Puzzle, Classic, Strategy, Stealth, Point & Click, Comedy",0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10.0,0.2,4.28571428571
1657,Neon Arena,Neon Arena,556010,,"Single-player,Local Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Stats,Steam Leaderboards",68.0,19.0,"Action, Indie, Casual","Action, Indie, Casual",0.0,0.0,4140,9.0,24.0,19.0,76 days 00:00:00.000000000,2017.0,0.49,2017-02-20,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1.0,37.5
1658,Neon Prism,Neon Prism,556280,Very Positive,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards",80.0,55.0,"Casual, Action, Indie","Action, Indie, Casual",0.0,0.0,7161,6.0,356.0,17.0,170 days 00:00:00.000000000,2016.0,1.99,2016-11-18,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1.0,1.68539325843
1659,Neon Space ULTRA,Neon Space ULTRA,463550,,"Single-player,Full controller support,Steam Trading Cards",62.0,24.0,"Indie, Action, Shoot 'Em Up","Action, Indie",0.0,0.0,7558,3.0,451.0,11.0,340 days 00:00:00.000000000,2016.0,2.99,2016-06-01,Shoot 'Em Up,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.666666666667,0.665188470067
1660,Nephise Begins,Nephise Begins,628950,,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support",,,"Adventure, Indie, Casual, Walking Simulator, Relaxing, Puzzle, Great Soundtrack, Exploration, First-Person, Atmospheric, Singleplayer, Short, Narration, Mystery, Horror, Hidden Object, Female Protagonist","Indie, Adventure, Casual",0.0,0.0,5794,1.0,7.0,3.0,13 days 00:00:00.000000000,2017.0,1.99,2017-04-24,"Mystery, Short, Atmospheric, Relaxing, Great Soundtrack, Horror, Singleplayer, Exploration, Walking Simulator, Narration, First-Person, Hidden Object, Female Protagonist, Puzzle",1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,17.0,0.176470588235,14.2857142857
1661,Nether: Resurrected,Nether: Resurrected,247730,,"Single-player,Multi-player,MMO,Valve Anti-Cheat enabled",44.0,13910.0,"Survival, Open World, Action, Multiplayer, Post-apocalyptic, Massively Multiplayer, Horror, FPS, Zombies, PvP, RPG, Survival Horror, First-Person, Indie, Co-op, Simulation, Adventure, Walking Simulator, Crafting, PvE","Indie, Massively Multiplayer, Simulation, RPG, Action",0.0,0.0,4511,13.0,10930.0,25.0,1067 days 00:00:00.000000000,2014.0,4.99,2014-06-05,"PvP, Crafting, Co-op, FPS, Walking Simulator, Survival, Multiplayer, Post-apocalyptic, PvE, Adventure, Zombies, First-Person, Survival Horror, Horror, Open World",1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,20.0,0.25,0.118938700823
1662,NeuroVoider,NeuroVoider,400450,Very Positive,"Single-player,Co-op,Local Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards",84.0,166.0,"Indie, Action, RPG, Great Soundtrack, Twin Stick Shooter, Pixel Graphics, Rogue-like, Local Co-Op, Rogue-lite, Cyberpunk, Bullet Hell, Top-Down, 2D, Co-op, Perma Death, Futuristic, Co-op Campaign, Difficult, 4 Player Local","Indie, RPG, Action",0.0,0.0,4572,4.0,54.0,8.0,249 days 00:00:00.000000000,2016.0,13.99,2016-08-31,"4 Player Local, Perma Death, Co-op, Twin Stick Shooter, Bullet Hell, Top-Down, Great Soundtrack, Pixel Graphics, 2D, Rogue-lite, Cyberpunk, Co-op Campaign, Rogue-like, Local Co-Op, Futuristic, Difficult",1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19.0,0.157894736842,7.40740740741
1663,Never give up!,Never give up!,555320,Positive,"Single-player,Steam Achievements,Steam Trading Cards,Commentary available",94.0,17.0,"Indie, Casual, Visual Novel, Female Protagonist, Otome","Indie, Casual",0.0,0.0,5944,1.0,12.0,2.0,129 days 00:00:00.000000000,2016.0,2.99,2016-12-29,"Female Protagonist, Otome, Visual Novel",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.0,0.4,8.33333333333
1664,Nevermind,Nevermind,342260,Mostly Positive,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud",70.0,181.0,"Adventure, Indie, Psychological Horror, Horror, Puzzle, Mystery, Surreal, Thriller, Story Rich, Atmospheric, First-Person","Indie, Adventure",0.0,0.0,3950,6.0,55.0,9.0,586 days 00:00:00.000000000,2015.0,19.99,2015-09-29,"Mystery, Atmospheric, Psychological Horror, Horror, Surreal, First-Person, Story Rich, Puzzle, Thriller",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.0,0.181818181818,10.9090909091
