submit_date,down_votes,up_votes,meaning,date,phrase
" February 09, 2003",3351,14442,Used in an argument to admit that you are wrong without admitting it so the argument is over.,Dec 29,whatever
" January 01, 2011",3671,2491,"(v): to disregard, not acknowledge, or skip over a comment when replying on a post or status update.",Jan 4,Comment Jump
" August 18, 2009",4171,4372,"(n). any non-electronic format used for finding directions.Examples:A road atlas, foldout paper road map, handwritten directions, directions printed from free online map Web sites.",Jan 3,Paper GPS
" December 06, 2006",2324,6086,"  A combination of the main holiday terms; Christmas, Hannukah, Kwanza, and Ramadan.    To be used in this age of correctness where people may be offended by wishing one person a seasonal greeting but leaving another person out, thereby offending their race or creed.",Dec 25,Christmahannukwanzadan
" February 17, 2008",10012,2722,"Xmax is a bit like Christmas, but not religious. It is the Xtreme version of Xmas and is way cooler.It is possible to celebrate Xmax inadvertantly, so if you're having quite a lot of fun at Xmas and nobody's talking about the baby Jesus, then you're probably celebrating Xmax. Don't worry tho, Xmax is much better.",Dec 24,Xmax
" December 04, 2010",2123,5637,A condition usually applied to houses in the Christmas time that are completely covered in flashing lights and a Nativity scene. A house will only be raving to Jesus if the lights are flashing and a Nativity scene is present.,Dec 23,Raving to Jesus
" December 07, 2009",1090,5373,The act of using a gift card to purchase another gift card of equal or slightly greater value in order to hide the fact that you're just regifting the original gift card.,Dec 22,gift card laundering
" January 11, 2004",1930,5304,Special Agent Fox Mulder's computer password in the X-Files TV series.,Dec 19,trustno1
" October 02, 2005",6351,1737,"A paid assassin who ""fixes"" a problem, i.e., offs someone who has been causing trouble for the person paying the assassin.",Dec 28,mechanic
" December 25, 2010",1586,2608,"Used to describe the after-effect of Christmas, or the Holidays in general: 12 Days of Hanukkah/Christmas, etc. is usually a busy time, very exciting, and enjoyable. By the end of the celebrations (The night of Christmas Day/Dec. 26th) you feel exhausted and overwhelmed. People are usually groggy, lethargic, and almost depressed from exhaustion.",Dec 27,Christmas Crashing
" February 16, 2005",2041,5110,A term used for a cross or crucifix that is worn as jewelry.,Dec 21,jesus piece
" October 19, 2009",2335,9275,"Oddly placed commas that don't seem to serve any actual purpose in punctuation, but make it look like you should take odd pauses, as William Shatner does when delivering lines.",Dec 20,Shatner commas
" April 17, 2007",1296,5814,"If your professor doesn't have a font requirement and you can't think of anything else to write, change your font to courier new to add multiple pages to your papers.",Dec 18,courier newed
" June 01, 2010",7582,19075,"ripped or ""holy"" jeans. They're so holy, they're jesus jeans!",Dec 17,Jesus Jeans
" December 21, 2009",1201,4823,"1. A mutual agreement to suspend holiday gifts for at least one season, usually within a single family or circle of friends.2. The act of replacing useless and pointless merchandise with something more meaningful, such as a charitable donation, service project or holiday party.3. Wal-Mart's biggest nightmare.",Dec 16,Degifting
" November 17, 2010",9316,79688,The TSA airport screening procedure.,Dec 15,Gate Rape
" December 04, 2010",1572,6211,"-adjective, Acronym for ""PHOtoshopped Beyond All Recognition."" A play on the the more popular acronym FUBAR: ""Fucked Up Beyond All Recognition,"" PHOBAR refers to an image, usually a photo of a person, that has been retouched and airbrushed with digital image manipulation software on a computer so significantly, that the person in the photo is barely recognizable.",Dec 12,PHOBAR
" March 22, 2008",5780,2548,"1. acting in a way that satisfies you, not caring at all about what others think nor about your actions and/or consequences2. following your heart3. possibly the best advice you can give anyone when they have a dilemma",Dec 14,Do you
" November 29, 2010",3847,2656,a radical who employs the potential to embarass others as a political weapon. Contrary to terrorist who uses fear.,Dec 13,emberrorist
" November 19, 2003",5623,21500,"Someone who has odd interests, and is often silly at times. A dork is also someone who can be themselves and not care what anyone thinks.",Dec 11,Dork
" July 23, 2003",6330,43831,One whose IQ exceeds his weight.,Dec 10,Nerd
" May 25, 2005",4771,26363,The people you pick on in high school and wind up working for as an adult,Dec 9,geek
" May 17, 2009",1369,11367,"The act of scrambling onto UrbanDictionary.com to quickly find out the definition of a word, usually when used over texts or IM. Used to cover up the fact that you did not know the meaning of the word prior to its use.Commonly abbreviated to UDCU.",Dec 8,Urban Dictionary Cover-Up
" January 05, 2009",2019,12239,"A phrase sarcastically used to indicate one's disgust or indifference towards a tl;dr story.",Dec 7,cool story bro
" July 15, 2010",1576,6442,"When a person's typing abilities degrade when they must type in front of others, leading to misspelled words, improper capitalisation and most likely resulting in blushing.Worse if that other person is an older relative or someone you respect.",Dec 6,Audience typing
" December 02, 2010",1222,8556,the pale skin of a person who plays to much Xbox and doesn't get any sunlight.,Dec 5,Dungeon Tan
" November 26, 2010",2297,4502,an individual who is highly amused by anything associated with flatuation.,Dec 4,Fart Enthusiast
" March 15, 2008",1302,3514,"The alteration or outright disappearance of inconvenient or embarrassing documents, photographs, transcripts, or other records, such as from a web site or other archive. Its origin comes from George Orwell's ""1984"", in which the memory hole was a small incinerator chute used for censoring, (through destroying), things Big Brother deemed necessary to censor.",Dec 3,Memory Hole
" December 10, 2006",991,3819,"A feeling common during the month of December.  It is the need to buy many overpriced gifts for your family, normally on a credit card.  The buyer feels no feelings of regret for the rest of the month, as he/she feels they are being a good person.  The Christmas buzz is always followed by the New Year's hangover, when the credit card bill comes in and the buyer goes on a rant about how much money they have spent.",Dec 2,Christmas buzz
" September 23, 2010",1781,4885,"A fancy name for a person that has access to Google and who's job is to search hotels, restaurants, airlines, etc. in order to book reservations for people that are too lazy and/or rich to do it themselves.",Nov 28,Concierge
" November 26, 2010",4050,1170,a euphemism for the weight gained as a result of Thanksgiving feast.,Dec 1,gut muscle
" November 25, 2010",1261,12811,Verb - Someone who ignores all their other friends when they are dating a boyfriend/girlfriend,Nov 30,Hiberdating
" September 13, 2005",7208,2868,When you have so much money that all you do is buy clothing. Therefore you are constantly popping tags off your merchandise.,Nov 29,pop tags
" May 03, 2008",1545,3408,"The time period during which a guy is actually engaged in the shopping experience.  This period can last from almost no time at all to literally hours for a metrosexual, and includes all forms of shopping, from the grocery store to designer boutiques.  It should also be noted that this period can be increased through witty girl techniques such as handing a guy a blackberry loaded with brickbreaker to play or sitting him in front of a couch with sportscenter.",Nov 27,shopping window
" April 10, 2007",1807,4828,"The day after Thanksgiving Day, when shoppers flood retail shops for supposed holiday deals. Also known as ""Black Friday"" and sometimes celebrated as ""Buy Nothing Day.""",Nov 26,Thingsgetting Day
" November 29, 2003",3897,12136,Another excuse for Americans to spend an entire day eating,Nov 25,Thanksgiving
" February 11, 2009",2026,11542,"When you are flying in the coach section of an airplane and one or both of the other two seats are unoccupied giving you more room, to stretch, lean or lie down.",Nov 24,Redneck First Class
" October 14, 2009",1132,9436,When a commercials audio is much louder than the program that you actually want to watch's audio.,Nov 23,Adverblasting
" November 16, 2010",3735,4562,"Infamous, now viral, phrase uttered by John Tyner of Oceanside after refusing to be subjected to an airport body scanner and subsequent thorough pat down.Can also be used in any social setting where you just want people to stop bothering you with uninteresting things.",Nov 22,Don't touch my junk!
" January 11, 2008",4913,2495,"A person who claims to be a true vegetarian but knowingly supplements their diet with small amounts of bacon, bacon bits, and bacon fat.",Nov 14,bacontarian
" November 04, 2003",1666,6932,"A person who is completely deaf and blind to everything but his favourite  show on television. He or she is unlikely to answer the phone, speak to anyone and do anything except sit and watch. He or she is also likely to be irritated or react badly if one tries to talk to him during that hour or in duration of his favourite TV shows that run in a row. ",Nov 13,TV stoned
" August 06, 2008",4791,2042,"acronym for ""Oh hell no!"", which is properly used when someone does something so offensive, insane, or inappropriate that you must voice your disapproval.",Nov 12,OHN
" January 14, 2008",7400,3009,"A Spanish phrase that literally translates into ""I please myself."" Gringos mistakenly think it means ""I like that"".",Nov 11,me gusto
" July 19, 2008",4876,9704,Bitchy Men Syndrome. Male version of PMS.,Nov 10,BMS
" September 30, 2005",7595,3729,"How are you doing, what's going on, what's new?",Nov 7,What It Do?
" October 18, 2010",1766,9701,"Wearing the same old Halloween costume to parties, year after year.",Oct 31,Deja boo
" July 01, 2008",8941,2814,another way to express when something is awesome/cool/amazing.,Nov 9,bomb dot com
" March 23, 2004",4819,23034,Phrase used after one inadvertently says something that sounds gay.,Nov 8,no homo
" November 09, 2007",1639,4653,"The act of putting a referendum initiative on the ballot over and over, on the theory that voters will eventually support the proposition because they don't want to hear about it anymore.",Oct 24,neverendum
" May 11, 2010",2642,6748,"Getting around a website's ""one person one vote"" logic by voting from multiple computers.See ballot stuffing and meth smurfing.",Nov 6,vote smurfing
" November 01, 2010",1545,7617,"When a individual has an excessive amount of pointless word documents, pictures, etc. saved on their computer that they will never look at",Nov 5,cyber hoarding
" February 13, 2007",5114,14909,When ones thoughts or appearance are in a state of disarray but they maintain an undeniable attractiveness or beauty.,Nov 4,hot mess
" May 20, 2007",2222,9712,"A fart which sounds as if the inflection raises toward it's end, exactly as you would do with your voice when asking a question. ",Nov 3,question fart
" May 06, 2010",4607,5315,the first time you vote after turning 18.,Nov 2,voting virginity
" December 09, 2006",1611,6038,A controversy that does not exist until created for political gain.  A contraction of non and controversy,Nov 1,nontroversy
" August 13, 2008",5330,8038,An expression of surprise or confusion used when what the fuck is insufficient to convey the magnitude of the situation. The increasingly flippant use and associated devaluation of the query 'what the fuck?' has necessitated the creation a more heart-felt derivative.,Oct 30,What the actual fuck?
" October 20, 2008",3471,4145,"A low quality cut of beef, as opposed to prime rib.",Oct 29,subprime rib
" April 09, 2010",5680,5492,aka a hill.,Oct 28,organic stairmaster
" September 26, 2010",1098,14672,"A parking spot that appears to be open, but is actually taken by a small car or motorcycle. Also can refer to a car that takes up 90% of its own spot and 10% of the one next to it, leaving no room for another car to park.",Oct 27,Spot Tease
" September 15, 2008",7087,3133,A petty dictator from a sparsely populated state with a large moose population.,Oct 26,Mooselini
" December 12, 2004",2252,7853,The (sometimes) gentle nudge of the car behind and/or in front of you that occurs in the process of good solo parallel parking.,Oct 25,love tap
" July 02, 2010",6229,3962,A phrase used when a meal or dinner you just had was less than desirable. An expression used when your meal was not what you expected. Used when there is nothing good to say about something you just ate. A term used not because you hate the food but because you just can't think of anything good to say about it.,Oct 10,It'll make a terd
" March 11, 2008",15147,6186,"a state of mind in which a PC owner realizes his computer sucks, then is immediately jealous of all his mac - owning friends.",Oct 23,mac envy
" July 28, 2008",3827,13607,An individual who talks on his or her cell phone even when doing so is rude or inconsiderate of other people.,Oct 22,Cellfish
" January 13, 2010",3250,12834,holding your arm up over your face in a position similar to Dracula holding up his cape and then sneezing into you elbow,Oct 21,Dracula sneeze
" September 30, 2008",2176,7992,"simple, straight-forward questions that cannot be answered by inept politicians.",Oct 20,gotcha journalism
" October 08, 2010",3714,12535,I'm straight but shit happens,Oct 19,heteroflexible
" September 20, 2010",1757,5107,"the original version of a song that another band has made a remake of, often used in a sarcastic manner",Oct 18,premake
" September 23, 2010",2336,14966,"Going out alone. I.e. seeing a movie by yourself, going to a restaurant alone.",Oct 3,Masturdating
" September 23, 2010",1751,6855,"1. Despite the obvious misfortune one remains optimistic.or to the layman:2. Shit ain't a big deal.",Oct 9,No hair off my balls
" December 09, 2007",1504,8525,"noun: The uncontrollable urge to check one's facebook every time one comes in contact with a computer. ",Oct 8,facebook fever
" October 04, 2010",2097,3891,Rooting for a football player you would normally root against because the player is on your fantasy football team.,Oct 7,fantasy cheering
" October 08, 2007",1806,6505,"A person who tries to claim ties to every religion out of fear of picking the ""wrong"" one. This in turn forms a paradox because some religions, such as Hinduism and Judiasm contradict each other as the former is polytheistic and the latter explicitly states that there is only one God.A typical Alltheist may believe in Jesus, Hindu gods, and even the Flying Spaghetti Monster.",Oct 6,Alltheist
" May 22, 2003",2756,7759,the sound that is heard when someone makes an awesome slam dunk.,Oct 5,boom shakalaka
" October 18, 2004",1372,3862,"The state of premature holiday celebration by means of decorations, singing, or costume.",Oct 4,pre-festive
" October 08, 2010",4736,2476,The one who struts his stuff the most in a given vicinity,Oct 17,cock of the block
" September 23, 2010",6076,2230,"To uninstall software from a Microsoft operating system, usually in frustration.",Oct 2,defenestrate
" September 23, 2010",5871,4237,The manipulation of scientific data to provide evidence for intelligence design.,Oct 1,godshopped
" October 25, 2007",6318,2315,"1. acronym for ""Thank God Its Almost Friday"", word is only usually used on thursday.",Sep 30,tgiaf
" September 24, 2010",1571,8785,"When someone you know comes to visit unexpectedly and inconveniently, often staying for a long time, and you can't tell them to leave without being rude.",Sep 29,Social Terrorism
" September 23, 2010",1127,12751,"When the auto-correct feature on your iPod Touch or iPhone tries to correct your spelling, but instead changes it to words that just dont make sense with what you're typing.",Sep 28,Auto Incorrect
" September 24, 2010",3715,2662,A farm worker tasked with picking and packing corn.Alternatively: A derogatory term for a gay Iowan.,Sep 27,corn packer
" November 14, 2010",5997,1431,Alerting your friends and co-workers when someone nearby has just farted.,Nov 21,Egg Alert
" April 06, 2010",2634,8713,"Latin abbreviation for the literal translation of ""and shit"", specifically, ""et merda"". Just like ""etc."" (and so forth), ""i.e."" (that is), and ""e.g."" (for example), ""etm."" can be used to abbreviate ""and shit"".",Sep 18,etm.
" July 02, 2008",1440,7804,"A text message containing information (usually unflattering or damaging) about a third party which is sent to the individual it concerns rather than the person for whom the communication is intended.",Sep 26,mistext
" August 14, 2003",3214,4250,"Everything's allright, no harm done.No problem, No worries.",Oct 16,No drama
" October 11, 2005",1686,10285,"awknowledgement of someones comment or joke, but indicating it wasn't funny.",Oct 15,ha
" October 10, 2010",6432,1672,When you have so much money that you can just pay someone to invent whatever it is that you want.,Oct 14,hoverboard money
" September 25, 2005",2528,11690,"when you eat so much, that your stomach looks pregnant",Oct 13,food baby
" September 12, 2007",6001,2346,(Nose blow burn)  The inevitable chaffing of the nose due to excessive snot blowing and wiping.,Oct 12,NBB
" October 03, 2010",1988,8339,What happens when you know perfectly well what you want to say but it comes out wrong.,Oct 11,tongue typo
" October 06, 2010",2238,7875,"""coming out of the cupboard"" is a figure of speech for popular or non popular people's disclosure of their secret obsession for Harry Potter.The term comes from the well know phrase ""coming out of the closet"" which refers to a person revealing that they are gay/lesbian.The ""closet"" part is replaced by ""cupboard"" because, as we know, Harry Potter lived in the ""cupboard under the stairs"" in the beginning of the book series.",Nov 20,coming out of the cupboard
" November 17, 2010",9316,79688,The TSA airport screening procedure.,Nov 19,Gate Rape
" November 12, 2010",3835,2886,When desperate housewives mix Lattes with pain killers to get through their day.,Nov 18,Pill-Lattes
" November 12, 2010",1736,6852,When someone builds their self esteem from self help books.,Nov 17,shelf esteem
" May 17, 2006",1806,16108,the best excuse to get what you want.,Nov 16,or the terrorists have won
" February 02, 2010",2857,5755,"TSA rating for airport, naked body scan images.",Nov 15,X-rayted
" November 17, 2006",1738,8730,The bad taste in your mouth just after waking up from a nap.,Sep 17,Nap mouth
" February 27, 2004",2384,5756,a person's behavior which is drastically different than normal usually because they are in the presence of certain people.,Sep 16,brand new
" September 13, 2010",2898,2808,"The method of artificially enhancing one's tan in pictures after them being taken using some photo editing software. The most common way of doing this is increasing the saturation of the photo, then uploading to social networking sites.Derived from Auto-tune, the software used to enhance vocals in many modern songs.",Sep 15,Autotan
" May 25, 2008",1119,9164,a text that is recieved too long after is sent so you are no longer obligated to reply to it. ,Sep 14,dead text
" September 04, 2010",3758,3717,the erratic movements of a person trying to get better cell phone service.,Sep 13,cell phone samba
" September 20, 2010",1327,3512,"The thin layer of potential for career advancement, increase in pay and future opportunities that an employer paints on your job to convince you that the future holds something more than you are currently experiencing.",Sep 25,Career Veneer
" September 19, 2010",1574,5974,"Passengers waiting to board a plane who stalk around near and clog up the boarding gate before a flight, regardless of where their seat is or when boarding actually is.",Sep 23,airport vultures
" September 20, 2010",4271,2057,Binging and purging of the brain.,Sep 22,Cerebral Bulimia
" August 26, 2010",6491,2251,a person who claims to have bingo but does not,Sep 21,bingo tease
" March 16, 2007",6700,8028,A slang term for a hair cut.,Sep 20,ears lowered
" May 17, 2008",1228,9242,A person or group of people that travel from one unclaimed seat to another (normally at sporting events) because their cheap asses couldn't fork up the money for better seats. Said people are forced to move once seats are claimed by the rightful ticket holders.,Sep 19,seat gypsie
" May 03, 2007",1945,6179,"Besides the obvious ""give me a beer,"" it is used to ask someone to pass or hand an object to you. It also can be used in a more figurative sense as a request or plea.Used by character Andy in ""Product Recall"" ep. of ""The Office"" (""the joke only gets a laugh 25% of the time"").",Sep 11,beer me
" May 10, 2010",5268,1294,(verb) tweeting while intoxicated,Sep 4,Dweet
" September 07, 2010",5433,2180,An old person who spends all his/her time at the computer or television.,Sep 12,screenior citizen
" October 30, 2007",6574,19404,"Another name for the rhythm method of birth control.Called so because it is the only form of contraception endorsed by the Catholic Church.",Sep 10,Vatican Roulette
" September 21, 2005",1910,2455,"To use knowledge gained from an urban legends website or other research to administer a firm rebuke to people who chronically forward junk to your inbox.  This action may involve hitting the reply-all button (public snoping).",Sep 9,Snope
" July 05, 2009",1207,5049,The expectation that a fellow driver will offer a wave after allowing them to cut into traffic.,Sep 8,Right of Wave
" August 30, 2003",1176,5511,"1. a person who shops at many different thrift stores, thereby often finding wonderful deals.2. One who feels the urge to brag about every single piece of crp they find at a thrift store.",Sep 7,thrift whore
" July 01, 2008",3541,961,"1) Constant connectivity via your smartphone and computer blurs the boundaries between your work life and your personal life.2) Constant connectivity at work via e-mail &amp; chat, results in so many interruptions that you cannot get blocks of time to do any thinking, resulting in you catching up on your work at home on nights and weekends.",Sep 6,workweek creep
" January 07, 2010",4963,11131,"The process of staying fresh and mint. Stands for ""Gym, tan, laundry."" Must be done everyday to achieve maximum potential. Side effects include fist pumping. Coined by the eloquent Mike ""The Situation"" Sorrentino from MTV's ground breaking Jersey Shore.",Sep 5,GTL
" March 16, 2003",1291,6692,"balls, guts, intestinal fortitude",Sep 3,testicular fortitude
" August 27, 2010",3754,1176,1. The act of denying your actual age in order to give others the impression that you are younger. 2. A medical procedure intended to provide persons of advanced years the appearance of being younger.,Sep 2,geriatric bypass
" August 30, 2010",1436,5568,Any of the wide variety of flavored coffee drinks offered at convenience stores such as Circle K or 7 Eleven that can be purchased for less than half the price of a Starbucks cappuccino.,Sep 1,cheappuccino
" August 18, 2006",6992,1364,"Having pockets full of money, i.e. swolen",Aug 31,pockets on swole
" April 27, 2010",3697,5319,When you eat something and it tastes like something else. Things often taste like chicken but chicken rarely tastes like other things.,Aug 30,nomonym
" June 06, 2010",7212,2573,"1) Understanding what another person is saying,2) Hearing the main points of a conversation, lecture or instructions and filtering out the rest",Aug 29,I'm picking the corn out your shit
" November 03, 2007",16214,1339,"As known to the Jonas Brothers fans, it would be stood for 'Oh My Jonas!'but if you put OMJJ or OMNJ, it would be like Oh My Joe Jonas or Oh My Nick Jonas.",Aug 21,OMJ
" September 21, 2004",1178,10969,"A disease like anorexia, no matter how tan a person is they never think they are tan enough. tanorexic",Aug 28,tanorexia
" August 18, 2010",5190,1707,Deciding to go with a hair-cut outside of your comfort zone.,Aug 20,Folicular Homicide
" February 28, 2010",4570,2551,Similar to writers block only in the context of social networking sites. Unable to come up with post worthy content.,Aug 19,post block syndrome
" August 06, 2010",10395,29175,Meaning to go spread the word. To let it be known. To go tell everyone quickly.,Aug 18,Run and tell that
" August 15, 2010",1898,2701,"A form of boredom that occurs in relation to mandatory meetings, most commonly those centered around a presentation.Symptoms include difficulty in staying awake, and delirious hallucinations more commonly referred to as daydreams.",Aug 17,Meeting Affective Disorder
" July 28, 2010",4248,7599,"When you need to figure out something, so you look it up in a book, like in the olden times, when dinosaurs ruled the earth.",Aug 16,book google
" August 13, 2010",4662,1636,An extra bill of higher denomination set aside for emergency funds. usually stored under the battery of a cellular phone.,Aug 15,Battery Bank
" July 02, 2008",4040,1529,"An unfortunately creepy term that is means ""to contact"" or similar.  Brings to mind grasping and undesirable contact from strangers.",Aug 27,reach out
" August 24, 2010",6144,1956,the pieces of paper that fall out of magazines into your lap.,Aug 26,lap flaps
" August 22, 2010",7700,27139,A reference from the Christopher Nolan movie Inception that suggests that a person should examine their totem (small personal object) in order to determine whether they are in reality or in delusional dreamland.Intended to be used sarcastically.,Aug 25,Check your Totem
" August 21, 2010",4105,2564,"A type of coffee so diluted by sugar, cream or milk that it no longer tastes like coffee, instead like milk and sugar, and has a beige or light brown color to it. The drink is typically concocted by those who want to appear as if they are drinking coffee but despise the taste.",Aug 24,half and half and half
" August 20, 2010",1318,9046,"When you wake up and feel engergized but as soon as you enter the work place, a wave of exhaustion runs over you and you have trouble staying awake for the rest of your work day. Amazingly, once you leave the hellish work atmosphere, you suddenly feel energized and ready to run a marathon.",Aug 23,Cubicle Coma
" August 20, 2010",4435,2564,"The name given to the chair infront of your computer that you sit on to go on line. Once seated in it and going on line (facebook, aol, google, news, etc) it sucks you in to a much longer period of time than you planned.",Aug 22,Suction Seat
" March 19, 2009",2440,4606,"A man to whom you as a man aspire towards.The Ideal man. ",Aug 7,Mantor
" August 03, 2010",1423,4776,1: Someone who only talks about and has nothing better to talk about than their job.2: A person that chronically complains about work,Aug 6,job talker
" July 01, 2010",4241,3137,When a person goes from jovial and friendly to furious and belligerent at the flip of a switch.,Aug 5,Yahtzee to Nazi
" January 12, 2009",1231,9645,"In public bathrooms, the act of remaining in a bathroom stall after having completed one's business, in order to maintain anonymity (whether by avoiding someone who has entered later, or finished sooner), or the state of being delayed under such circumstances.  Also the act of delaying defecation until the bathroom is empty.See also stall waiting",Aug 4,Stall stall
" July 06, 2010",1311,6403,"Watching several episodes of a TV show in a row, usually from a DVD box set. This can be done over several evenings, or a marathon weekend.",Aug 3,powerdisking
" July 30, 2010",2700,5445,"When two people think they are arguing, but fail to realize they actually agree.",Aug 2,violent agreement
" July 29, 2010",1638,6221,When you come to a stoplight and make the conscious decision to avoid getting behind a dumptruck or semi and opt for the lane with 10 vehicles instead of just two so you're sure to move sooner when the light turns green.,Aug 1,Traffic Tetris
" February 17, 2005",1486,7896,Intellectual activity that serves no practical purpose.,Jul 31,Mental Masturbation
" July 23, 2010",4764,3740,The 2 minute check a waiter/waitress does after they bring your meal to the table.,Jul 30,How is Everything Check
" July 15, 2010",5057,1148,Occurs when the debt owed from a friendly bet between two friends rises to an uncomfortable level causing one friend to cut ties with the other in lieu of paying up.,Jul 29,strategic friendship default
" November 09, 2007",5560,991,"The opposite of Reply-All, when an email-incompetent person sends you a blank reply to an email you sent them. ",Jul 28,Reply-None
" September 16, 2007",2778,5579,"To fart in a car full of people, crank the heat for maximum effectiveness.",Jul 27,Clutch Oven
" September 26, 2007",831,11944,To test if an item of already worn clothing is suitable to wear out. common amongst students who cant be bothered to do their washing.,Jul 26,sniff test
" May 30, 2010",1453,6902,"Flipping through the deck over and over while playing the card game Solitaire even though there are no more moves available, denying that you have lost even though you already know it.",Jul 25,solitaire denial
" October 12, 2009",2930,3621,The fight over the check at the dinner table over who will pay.,Jul 17,Tab o' War
" July 06, 2010",10515,30328,"intense joy, coupled with extreme emotional shifts; an experience equal to an orgasm",Jul 16,double rainbow
" July 07, 2010",4925,2570,The regret you experience when you leave the bar hastily at the end of the night without relieving yourself.,Jul 15,Peegret
" October 11, 2005",5428,1592,a teen actor or singer's manager who is also their mother,Jul 14,Momager
" July 09, 2010",1262,9972,"Like a social butterfly, without any charm or beauty. An unwanted pest.",Jul 13,Social Fruitfly
" July 02, 2010",1701,6066,To constantly be online or just on a personal computer for fun or entertainment. Also always thinking about anything computer related.,Jul 12,Obsessive Computer Disorder
" December 08, 2002",2785,12290,When you sit down somewhere (usually in a movie theater) and purposely leave an extra seat between you and a person of the same sex so as not to appear gay.,Jul 11,gay buffer
" July 02, 2010",2432,4644,A man in a pub that takes his beer with his when he goes to the gents and drinks it while having a pee.,Jul 10,Inflight Refueler
" March 04, 2005",3044,2687,"A poser. Someone who professes to live one style of life but reality tells a much different story.Used as a diss in freestyleraping to describe someone who claims to be a thug or hard but is very much the opposite.",Jul 9,halfway crook
" October 13, 2009",4902,2066,The act of leaving your left over penny or pennies from unwanted change at the counter of a convenient store.,Jul 8,Penny it Forward
" June 29, 2010",2645,4782,"When a house guest reaches into a bag of chips and eats some. Then licks all over their hands, then reaches into the bag and eats some more chips, Double-Chipping.",Jul 7,Double-Chipping
" October 22, 2009",6505,17557,"An individual who is willing to do anything, regardless of how humiliating or demeaning, to achieve notoriety.More often than not, this involves appearing on multiple reality television shows and/or having ""private"" sex videos ""leaked"" to the press.",Jul 6,Fame Whore
" February 27, 2010",1641,3571,military term now used to describe the act of positioning oneself and one's crew at the front of the bar to ensure primo cocktail service and quality lay of the land.,Jul 5,establish a beachhead
" July 19, 2004",3362,9739,(n) an obscure form of rock which you only learn about from someone slightly more hip than yourself.,Jul 4,indie
" December 09, 2007",1015,6847,"The condition where a group of people sharing a living space each avoid doing a household chore for an extended period because each believes it's someone else's responsibility. The idea is that eventually the situation will reach a critical mass where the guilty party will cave in and do the chore. In practice, the situation can escalate to extreme levels. ",Jun 12,roommate chicken
" June 19, 2010",7345,1741,Too far; didn't go,Jun 26,tf;dg
" May 31, 2008",1153,4319,"The unexplained feeling of bliss, joy and satisfaction one gets following a purchase. It can last anything from a few hours to a few weeks depending on the size, worth or usefulness of the item acquired. Buyer's remorse can sometimes follow or replace purchase pleasure.  It is often a reason for shopping addiction.",Jul 3,purchase pleasure
" November 07, 2004",1946,5196,"(n.) a play on words which mixes two common metaphors: ""rocket science"" and ""brain surgery""",Jun 11,rocket surgery
" November 06, 2007",1562,12271,An expression that explains how a joking or friendly conversation suddenly took a turn for the worse and is escalating towards a hostel situation and/or a physical scuffle.,Jun 10,shit just got real
" July 04, 2009",3035,6104,"A term used to descibe the face made if you push your lips together in a combination of a pout and a pucker, giving the impression you have larger cheekbones and bigger lips.",Jun 9,Duckface
" June 06, 2010",1154,6240,"When someone texts you completely random and/or insignificant information only pertaining to themselves, as if they were updating their Facebook status.",Jun 8,status texting
" June 01, 2010",2442,3815,"The effect of turning everything into shit. The opposite of the Midas touch, where King Midas was said to turn everything he touched into gold.The act of fail, to blunder, to make a snafu, or catastrophe",Jun 7,Inverse Midas
" May 05, 2009",2322,6512,The perfect time for a picture with only the guys,Jun 6,brodak moment
" October 14, 2009",1971,5781,is the reluctant act of pulling ones wallet out as a sign of willingness to pay for a meal you assumed was a treat.,Jun 25,wallet threat
" October 14, 2009",4914,2287,When a child or baby accidentally calls someone when they are playing with your phone. Similar to Butt Dialing,Jun 24,Diaper Dialed
" November 02, 2003",1967,9425,Calm the fuck down.,Jun 23,ctfd
" June 16, 2010",7745,4056,A younger version of a gold digger.,Jun 22,Aluminum Digger
" June 17, 2010",1657,10975,"The feeling you get when you haven't had access to the internet (i.e. facebook and twitter) for a long time, like several minutes.",Jun 21,postmodem depression
" June 14, 2010",6316,3769,Raining kittens and puppies would mean raining lightly.,Jun 20,kittens and puppies
" August 09, 2010",1812,6842,When you complain about something for the sole purpose of brining it up in conversation to brag about it.,Aug 14,Bragplaining
" July 09, 2010",1624,8221,"The obnoxious, headache-inducing cologne cloud that surrounds a beefy, tight-Armani-shirt wearing dude.",Jul 24,Eau d'ouche
" June 01, 2010",1521,5404,when your so bored with life that you just spend money to make your life seem more exciting.,Jun 5,bored to debt
" September 16, 2008",1108,4997,"A derogatory prepatory statement in a sentence used when telling someone something they should already know, but, in fact the author knows they do not.",May 29,As You Know
" June 25, 2010",5331,3505,Money required to purchase sex toys.,Jul 2,Dildough
" June 26, 2010",1209,9460,"When time slows down while waiting for you food to heat in the microwave. Known side effects are increased hunger, slowing of all the clocks in your house and walking around aimlessly trying to kill time. The microwave minute has the ability to slow time turning one minute into what feels lime an hour.",Jul 1,Microwave minute
" June 17, 2010",1454,7310,"An expression that's used when you want information from someone, but that someone keeps telling boring details you don't need to know.Can be emphasised by using 'Shut the fuck up and keep talking'.",Jun 30,Shut up and keep talking
" June 01, 2010",4337,2051,The sending of a friend request on Facebook or other social networking site without including any information on who you are or how you know the recipient.,Jun 29,drive-by friending
" August 26, 2007",5028,2269,"Short for ""Get back to me"" or ""Get back at me"", meaning ""respond"", or ""reply"".",Jun 28,get at me
