category,appellation,name,variety,price,bottle_size,points,winery,description,alcohol,vintage
White,Portugal,Fiuza 2016 3 Castas White (Tejo),Portuguese White,12,750 ml,87,Fiuza,"The three grape varieties (castas) are Arinto, Chardonnay and the rare Vital. The result is a light, bright wine dominated by rich acidity, an easy, open texture and just the right amount of crispness at the end. Drink now.",12.50%,2016
Red,Spain,Bodegas Ondalan 2014 100 Abades (Rioja),Graciano,40,750 ml,87,Bodegas Ondalan,"Compact cherry, plum and cassis aromas are nice. In the mouth, this is ruled by snappy edgy acidity. Flavors that match the nose finish raw, with blazing residual acidity. There's probably no limit to how long this Graciano will last; drink through 2030.",13.50%,2014
White,Australia,Fox Creek 2014 Chardonnay (McLaren Vale),Chardonnay,21,750 ml,87,Fox Creek,"This is well-made, medium-bodied Chardonnay. Roasted cashews and grilled lemon slices mark the nose, while the flavors reflect more of the same, then draw to a long, crisp finish. Drink now2020.",13.50%,2014
Red,US,Gibbs 2013 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,28,750 ml,87,Gibbs,"With small additions of Petit Verdot and Merlot, this is a robust, full-bodied and affordable red that's thickly tannic at first before allowing a defined sense of vanilla oak and black cherry to speak in unison.",14.50%,2013
Red,US,Merriam 2014 Three Sons Pinot Noir (Russian River Valley),Pinot Noir,75,750 ml,87,Merriam,"Forest pine and sap are further accentuated by this wine's grip of smoky oak, partially offset by the ripeness of full-bodied baked cherry pie at its heart.",14.70%,2014
White,Australia,Riposte 2015 The Foil Sauvignon Blanc (Adelaide Hills),Sauvignon Blanc,21,750 ml,87,Riposte,"A bit obviously pungent and sweaty, this passion fruit-scented wine is direct and to the point, marrying medium body with a tangy, mouthwatering finish. If you enjoy slightly feral citrus notes, you may rate it higher.",12.50%,2015
White,Italy,Antichi Vinai 1877 2015 Il Mascalese Nerello Mascalese (Terre Siciliane),Nerello Mascalese,25,750 ml,87,Antichi Vinai 1877,"Aromas of wild berry and a whiff of Mediterranean herb lead the nose on this young easygoing red. The fresh straightforward palate offers ripe strawberry and white pepper alongside bright acidity and silky, soft tannins. Drink now.",13%,2015
White,Germany,Clean Slate 2015 Riesling (Mosel),Riesling,11,750 ml,87,Clean Slate,"Clean Slate offers forward, fresh grapefruit and lemon flavors with just a hint of smoke in this off-dry Riesling. It's a straightforward yet consistently elegant wine for everyday enjoyment.",11%,2015
White,Germany,Heinz Eifel 2015 Shine Riesling (Rheinhessen),Riesling,10,750 ml,87,Heinz Eifel,"Plush and plump, this is an easygoing off-dry Riesling with wide appeal. Fresh white grapefruit, apple and lemon flavors are cushioned by soft acidity. The finish is brisk and clean. Drink now through 2018.",10%,2015
White,Italy,Il Lebbio 2015 Trope (Vernaccia di San Gimignano),Vernaccia,30,750 ml,87,Il Lebbio,"Enticing whiffs suggesting yellow flower, aromatic herb, peach and citrus take center stage on this. The bright, enjoyable palate delivers mature yellow apple and a hint of ginger while a bitter-almond note marks the close.",13.50%,2015
Red,US,Judd's Hill 2013 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,55,750 ml,87,Judd's Hill,"This is a big, brawny wine that offers moderate structure, opting for richer, denser notes of leathery tannin and bittersweet tobacco leaf, its accents part cedar, part clove.",14.80%,2013
White,Italy,La Mormoraia 2014 Riserva (Vernaccia di San Gimignano),Vernaccia,20,750 ml,87,La Mormoraia,"Aromas of white spring flower, oak-driven vanilla and a whiff of white stone fruit lead the nose. The oak sensations follow through the somewhat lean palate, along with pear and a confectionery note. It closes on a note of bitter almond.",13.50%,2014
White,Italy,Poderi Arcangelo 2015 Vernaccia di San Gimignano,Vernaccia,16,750 ml,87,Poderi Arcangelo,"Heady aromas of white spring flower, vineyard dust and white stone fruit lead the way on this delightful white. The juicy palate doles out ripe apple, pear and a hint of honeyed almond alongside fresh acidity.",12.50%,2015
White,Italy,Sensi 2016 Collegiata (Vernaccia di San Gimignano),Vernaccia,16,750 ml,87,Sensi,Delicate aromas of white spring flower and a whiff of beeswax carry over to the fresh palate along with yellow apple and pear. A lightly bitter-almond note marks the finish.,12.50%,2016
Red,Portugal,Sogrape 2015 Herdade do Peso Trinca Bolotas Red (Alentejo),Portuguese Red,15,750 ml,87,Sogrape,"The wine comes from the Alentejo vineyards owned by Portugal's largest company. Named after the local black pigs, the wine is fruity although with a core of tannins. Young, bright and packed with berry flavors, it is a wine to drink now or (better) from 2018.",14.50%,2015
Red,Chile,Via Casablanca 2014 Nimbus Single Vineyard Merlot (Casablanca Valley),Merlot,22,750 ml,87,Via Casablanca,"This dark-colored Merlot offers reduced berry, chocolate and herbal aromas. In the mouth, it's displaying rubbery tannins. Dried berry and oak-based flavors of spice and wood grain finish with hints of clove on a finish that could use more harmony and depth.",14.50%,2014
White,Germany,Von Schleinitz 2015 Blanc de Noir Pinot Noir (Mosel),Pinot Noir,20,750 ml,87,Von Schleinitz,"Hints of caramelized sugar and dried raspberries abound from nose to finish in this Pinot Noir vinified like a white wine. Dry on the palate, its rounded texture is augmented by soft, yielding acidity. Drink now.",12%,2015
White,Australia,Yalumba 2016 The Y Series Viognier (South Australia),Viognier,13,750 ml,87,Yalumba,"Given the paucity of quality Viognier (or any Viognier) for under $15, this is a notable achievement. Musky, melony and spicy, it marries ample weight and breadth with just enough life-giving acidity. Drink now.",13.50%,2016
Red,Spain,Alidis 2014 Crianza (Ribera del Duero),Tempranillo,28,750 ml,87,Alidis,"Chunky obtuse aromas of berry fruits are a bit damp and volatile. This is heavy and severely tannic, while blackened berry and prune flavors come across a bit stewed. A drawing tannic finish brings this to a close.",14%,2014
Red,US,Benessere 2014 Estate Black Glass Vineyard Zinfandel (St. Helena),Zinfandel,35,750 ml,87,Benessere,"Cherry, berry and smoke ride atop a sultry texture in this estate wine, 100% varietal. Leathery accents provide texture and additional weight as a buildup to a seamless, easygoing finish rides out.",14.80%,2014
White,US,Black Stallion 2015 Chardonnay (Napa Valley),Chardonnay,19,750 ml,87,Black Stallion,"This rounded, likable wine is integrated in oak and offers aromas of clarified butter, its fruitiness more tropical and stone fruit-driven than anything else. Concentrated, it finishes with simplicity.",14.50%,2015
White,Italy,Cappella Sant'Andrea 2015 Vernaccia di San Gimignano,Vernaccia,19,750 ml,87,Cappella Sant'Andrea,"Aromas suggesting pressed yellow flower, dried stone fruit and a whiff of toasted nut carry over to the straightforward palate. A hint of almond underscores yellow apple and a citrus note while tangy acidity lends freshness.",13%,2015
Red,Portugal,Casa da Passarella 2013 Tinto Red (Do),Portuguese Red,15,750 ml,87,Casa da Passarella,"This blend of the major red varieties of the Do is aged both in cement and in wood. It is an attractive, fruity wine, ripe with soft tannins and red-currant and red-berry fruits. It is ready to drink.",13%,2013
White,Portugal,Casa da Passarella 2015 Somontes Colheita Branco White (Do),Portuguese White,11,750 ml,87,Casa da Passarella,"This is an attractively perfumed wine with Malvasia Fina and Verdelho in the blend. It is tangy, crisp and with a lightly mineral texture. Drink this wine now.",13%,2015
Red,Portugal,Casa Santos Lima 2014 Lab Reserva Red (Lisboa),Portuguese Red,15,750 ml,87,Casa Santos Lima,"This is an open, soft, ripe and fruity wine. With a finely integrated tannic structure and plenty of red fruits and acidity, it is a generous full wine that is ready to drink.",14%,2014
Red,US,Auclair 2014 96 Cedars Red (Columbia Valley (WA)),Bordeaux-style Red Blend,25,750 ml,87,Auclair,"Aromas of barrel spice, dried green herb, dried fruit and game lead to quite sweet black-cherry flavors, with gamy notes on the finish. It seems a bit dried out.",14.30%,2014
Red,US,Basel Cellars 2013 Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,36,750 ml,87,Basel Cellars,"Aromas of red fruit, cherry meat, herb and pencil lead are followed by full fruit flavors. It pulls up on the finish.",14.93%,2013
Rose,US,Broken Earth 2015 Rose of Grenache (Paso Robles),Grenache,18,750 ml,87,Broken Earth,"Somewhat reserved on the nose, this shows raspberry, squeezed tangerine and orange blossom aromas with some swirling. The sip is quite high-toned at first, with wet slate flavors, then come slightly sweeter touches of wild berry and red cherry.",14.50%,2015
White,US,Columbia Crest 2015 Reserve Chenin Blanc (Horse Heaven Hills),Chenin Blanc,26,750 ml,87,Columbia Crest,"Light aromas of white peach and flowers are followed by elegantly styled, off-dry stone-fruit flavors. It provides intrigue but doesn't entirely deliver.",12%,2015
Red,Italy,Enio Ottaviani 2015 Caciara Sangiovese (Romagna),Sangiovese,13,750 ml,87,Enio Ottaviani,"Aromas of black-skinned berry, baking spice and tilled soil lead the nose on this straightforward wine. The juicy palate delivers red plum, clove and a touch of cinnamon alongside round tannins. Enjoy soon.",13%,2015
White,Italy,Morini 2015 Sette Note Secco Albana (Romagna),Albana,13,750 ml,87,Morini,"This offers subdued aromas suggesting pear, acacia, sage and hazelnut that carry onto the ripe palate along with yellow peach. Bitter almond marks the finish.",14%,2015
White,France,Nicolas Potel 2013 La Pucelle Premier Cru (Rully),Chardonnay,50,750 ml,87,Nicolas Potel,"The fruitiness in this tight wine is still developing, hiding for now behind a bitter, toasty character. That should soften as the wine fills outfrom 2018.",12.50%,2013
White,US,Pacific Rim 2015 Dry Riesling (Columbia Valley (WA)),Riesling,11,750 ml,87,Pacific Rim,"The aromas bring notes of jasmine, lime zest and honeysuckle. It drinks dry, with lightly concentrated fruit flavors that lead to a floral finish. It provides enjoyment but the concentration doesn't seem all there.",12.50%,2015
Red,US,Plaisance Ranch 2014 Papa Joe's Private Stash Pinot Noir (Applegate Valley),Pinot Noir,25,750 ml,87,Plaisance Ranch,"A bit lighter in 2014 than in past vintages, this puts an accent on light raspberry fruit, with a strong flavor of caraway seeds running down the spine. There's ample acidity, and a hint of fresh-baked bread.",13.80%,2014
White,Spain,Ress 2016 Old Vines Garnacha Blanca (Catalunya),Garnacha Blanca,8,750 ml,87,Ress,"Tan in color, with uncomplicated but friendly melon and apple aromas, this feels electric on the palate due to high acidity. The mix of citrus and stone-fruit flavors is lean, tight and lasting on the finish.",13%,2016
Red,Italy,Tenuta Casali 2013 Quartosole Sangiovese (Romagna),Sangiovese,29,750 ml,87,Tenuta Casali,"This straightforward red opens with aromas of leather, game and black-skinned fruit. The firm palate delivers prune, cedar and tobacco alongside assertive tannins that leave a rather grippy finish.",13%,2013
Red,Italy,Tenuta La Viola 2013 P. Honorii Bertinoro Riserva Sangiovese (Romagna),Sangiovese,25,750 ml,87,Tenuta La Viola,"Aromas of espresso, black-skinned fruit and a whiff of toasted oak take center stage on this. The firm palate delivers black plum, clove and mocha while assertive tannins leave a somewhat drying finish. Drink through 2019.",14.50%,2013
White,Italy,Tollena 2013 Signorina Vittoria Riserva (Vernaccia di San Gimignano),White Blend,30,750 ml,87,Tollena,"Delicate aromas of toast, hazelnut, yellow wild flower and candied citrus zest lead the nose. The subdued, rather lean palate shows yellow apple skin, toast, butterscotch and raw almond alongside bright acidity. A coffee note marks the close. It doesn't have much fruit richness so enjoy soon.",14%,2013
Red,US,TruthTeller 2014 Pun Red (Columbia Valley (WA)),Bordeaux-style Red Blend,30,750 ml,87,TruthTeller,"This wine is 42% Cabernet Sauvignon, 32% Malbec, 21% Merlot and 5% Petit Verdot. Aromas of blue fruit, plum and green herb lead to dry, slightly astringent fruit flavors, with lemon twist notes on the finish.",14.90%,2014
Red,US,Viszlay Vineyards 2011 Winemaker's Reserve Malbec (Russian River Valley),Malbec,98,750 ml,87,Viszlay Vineyards,"Dusty red fruit dominates in this otherwise muted, mellowed and somewhat demure estate wine, soft in texture and approach that cranks in acidity.",13.90%,2011
Red,Spain,Alidis 2014 Crianza (Ribera del Duero),Tempranillo,28,750 ml,87,Alidis,"Chunky obtuse aromas of berry fruits are a bit damp and volatile. This is heavy and severely tannic, while blackened berry and prune flavors come across a bit stewed. A drawing tannic finish brings this to a close.",14%,2014
Red,US,Benessere 2014 Estate Black Glass Vineyard Zinfandel (St. Helena),Zinfandel,35,750 ml,87,Benessere,"Cherry, berry and smoke ride atop a sultry texture in this estate wine, 100% varietal. Leathery accents provide texture and additional weight as a buildup to a seamless, easygoing finish rides out.",14.80%,2014
White,Australia,Fox Creek 2014 Chardonnay (McLaren Vale),Chardonnay,21,750 ml,87,Fox Creek,"This is well-made, medium-bodied Chardonnay. Roasted cashews and grilled lemon slices mark the nose, while the flavors reflect more of the same, then draw to a long, crisp finish. Drink now2020.",13.50%,2014
Red,US,Gibbs 2013 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,28,750 ml,87,Gibbs,"With small additions of Petit Verdot and Merlot, this is a robust, full-bodied and affordable red that's thickly tannic at first before allowing a defined sense of vanilla oak and black cherry to speak in unison.",14.50%,2013
Red,US,Merriam 2014 Three Sons Pinot Noir (Russian River Valley),Pinot Noir,75,750 ml,87,Merriam,"Forest pine and sap are further accentuated by this wine's grip of smoky oak, partially offset by the ripeness of full-bodied baked cherry pie at its heart.",14.70%,2014
White,Australia,Riposte 2015 The Foil Sauvignon Blanc (Adelaide Hills),Sauvignon Blanc,21,750 ml,87,Riposte,"A bit obviously pungent and sweaty, this passion fruit-scented wine is direct and to the point, marrying medium body with a tangy, mouthwatering finish. If you enjoy slightly feral citrus notes, you may rate it higher.",12.50%,2015
White,Chile,Santa Rita 2016 120 Reserva Especial Chardonnay (Central Valley),Chardonnay,6,750 ml,87,Santa Rita,"No, this is not a misprint. This $6 Chardonnay is a quaffer's dream. Aromas of apple and pear are clean and pleasant. In the mouth, this feels round and balanced. Slightly salty apple flavors are steady on the finish.",13.50%,2016
White,Portugal,Casa de Cambres 2016 Reserva Branco White (Douro),Portuguese White,15,750 ml,87,Casa de Cambres,"Reserva in the case of this wine means both a selection of wines and also aging in wood. That gives this ripe wine full spice as well as apricot flavors. It is a creamy, rounded wine, just lit by acidity at the end. Drink from 2018.",13%,2016
White,Portugal,Casa Santos Lima 2016 Sauvignon Blanc (Lisboa),Sauvignon Blanc,15,750 ml,87,Casa Santos Lima,"This is Sauvignon Blanc with a cool, herbal twist to it. It is crisp, full of green stone fruits, along with a lively lemon juicy acidity. Perfumed and packed with fruitiness, it is ready to drink.",13%,2016
White,Chile,Concha y Toro 2015 Marques de Casa Concha Chardonnay (Limar Valley),Chardonnay,22,750 ml,87,Concha y Toro,"On the nose, this Chardonnay smells mostly of oak, with apple and melon notes in the background. Salty oaky flavors mask the wine's fruit, which falls into the stone-fruit category. A barrel-dominated finish with nectarine notes is resiny and salty.",14.50%,2015
Red,US,Elkhorn Peak 2012 Estate Vineyard Pinot Noir (Napa Valley),Pinot Noir,38,750 ml,87,Elkhorn Peak,"Flat and mildly spicy, this is a light-bodied, fleshy red that offers moderately ripe layers of cherry, raspberry and vanilla.",13.80%,2012
White,Italy,Guidi 1929 2015 Vernaccia di San Gimignano,Vernaccia,14,750 ml,87,Guidi 1929,"Here's an enjoyable white that has light aromas of orchard fruit and citrus. The ripe palate reflects the nose, doling out yellow apple and tangerine alongside a note of bitter almond.",13%,1929
Red,Spain,Livius 2009 Rioja,Graciano,75,750 ml,87,Livius,"Lazy raisiny aromas reflect a very warm vintage. In the mouth, this Graciano is fat, with dense, plodding tannins. Raisin and prune flavors are chewy and exceedingly ripe, while this is obtuse on the finish.",14.50%,2009
Sparkling,US,Luna 2013 Bubbles Sparkling (Carneros),Sparkling Blend,42,750 ml,87,Luna,This is a high-strung sparkler made from equal parts Chardonnay and Pinot Noir. It has a stony texture that leans into rich flavors of brioche and honey.,12%,2013
Red,Chile,Mancura 2014 Reserva Guardin Carignan (Maule Valley),Carignan,15,750 ml,87,Mancura,"Aromas of black olive and road tar include mixed-berry scents. A tight, staunchly acidic palate is rather shrill, while salty, acid-driven flavors of plum and wild berry finish long but sharp.",14%,2014
White,Portugal,Quinta do Sagrado 2015 Sagrado Branco White (Douro),Portuguese White,30,750 ml,87,Quinta do Sagrado,"Tangy with a strong mineral streak, this wine is crisply fruity and still young. It has green fruits, a ripe character that comes from the warm vintage. There is also plenty of bright acidity to give the wine a tight, nervy aftertaste. Drink from 2018.",13%,2015
Red,Chile,Tres Palacios 2014 Family Vintage Merlot (Maipo Valley),Merlot,18,750 ml,87,Tres Palacios,"Leafy herbal aromas of tomato sauce and spicy red plum will be attractive or too green depending on your point of view. This has a snappy freshness to the palate, while flavors of red plum, herbs and tomato finish comfortably, with an Old World essence.",14%,2014
White,Chile,Via Casablanca 2016 Nimbus Single Vineyard Chardonnay (Casablanca Valley),Chardonnay,20,750 ml,87,Via Casablanca,"Grassy aromas include notes of corn and apple. This feels fresh and citric, with moderate roundness. Salty citrus and kiwi flavors are lasting on a crisp juicy finish.",13.50%,2016
White,Chile,Via Tabal 2015 Pedregoso Gran Reserva Viognier (Limar Valley),Viognier,13,750 ml,87,Via Tabal,"Buttercup and white-flower aromas are true to Viognier. This feels a bit thick and viscous, while ripe melony flavors come with powdered sugar and pastry notes. This is plump, easygoing and tastes tropical and sweet on the finish.",13.50%,2015
Red,US,Z'IVO 2014 Pinot Noir (Eola-Amity Hills),Pinot Noir,45,750 ml,87,Z'IVO,"The scents and flavors are dominated by chocolate, right from the start. The mouthfeel is tight, and herbal notes come up ahead of the light red fruit. Whole cluster fermentation was employed, perhaps accounting for the woody accents in the tannins.",13.80%,2014
Red,US,Summers 2013 Petite Sirah (Knights Valley),Petite Sirah,40,750 ml,87,Summers,"Blueberry tops a hefty and robust foundation of vanilla syrup in this ripe wine, dusty in tannin and weighty on the long, oaky finish.",14.70%,2013
Red,US,14 Hands 2014 The Reserve Syrah (Horse Heaven Hills),Syrah,30,750 ml,87,14 Hands,"Smoke, char and dark fruit aromas are followed by full-bodied blackberry flavors. The tannins bring some grittiness that holds it back.",15%,2014
White,US,14 Hands 2015 Riesling (Washington),Riesling,10,750 ml,87,14 Hands,"Bright aromas of ripe peach, lime zest, flowers and canned pear lead to off-dry peach and apricot flavors. It brings a lot of appeal.",11.50%,2015
Red,US,Angel Vine 2013 The Hellion Red (Columbia Valley (WA)),Red Blend,25,750 ml,87,Angel Vine,"This wine is a blend of Primitivo (46%), Petite Sirah (29%) and Zinfandel. Aromas of huckleberry, raspberry, herb and spice lead to sweet blue-fruit flavors that provide enjoyment.",14.60%,2013
Red,US,Archeus 2013 Two Storms Cabernet Sauvignon (Red Mountain),Cabernet Sauvignon,54,750 ml,87,Archeus,"A blend of fruit from up-and-coming Red Heaven and Scooteney Flats vineyards, this wine brings aromas of game, medicine cabinet and cherry. The fruit flavors are soft in feel, seeming somewhat dried out.",14.70%,2013
Red,Italy,Cantina di Venosa 2013 Terre di Orazio (Aglianico del Vulture),Aglianico,18,750 ml,87,Cantina di Venosa,"This offers subdued aromas of Mediterranean brush, chopped mint, mature black-skinned fruit and whiff of menthol. The easygoing palate doles out dried black cherry, prune, cinnamon and a hint of star anise framed in round tannins. Enjoy soon.",14%,2013
Red,US,Gersing 2015 Pinot Noir (Eola-Amity Hills),Pinot Noir,34,750 ml,87,Gersing,"This offers light red fruits and a dusting of spices. It's modest and balanced, with proportionate tannins and a chocolate note from aging in French oak barrels. It's a light, pleasant, but nondescript wine.",14.20%,2015
White,US,Kenwood 2015 Chardonnay (Sonoma County),Chardonnay,13,750 ml,87,Kenwood,"Rounded and likable, this is a bang-up deal for a wine of fine quality, textured, light and fruity in stone fruit and pineapple.",13.50%,2015
Red,US,La Honda Winery 2014 Exponent Red (Santa Cruz Mountains),Red Blend,26,750 ml,87,La Honda Winery,"A light touch of cedar meets with black raspberry on this somewhat simple table wine. It's light and easy to quaff on the palate, with tangy dark red fruit but not much complexity, making it a great pizza wine.",13.80%,2014
Red,US,Maddalena 2012 Cabernet Sauvignon (Paso Robles),Cabernet Sauvignon,16,750 ml,87,Maddalena,"The nose on this bottling is fairly light, with tangy blackberry and graphite aromas most prominent. The palate is framed by a chalky tannins and a strong acidity, with more blackberry juice flavors and the slightest touch of tobacco.",13.90%,2012
Red,US,Mercer 2014 Cabernet Sauvignon (Horse Heaven Hills),Cabernet Sauvignon,19,750 ml,87,Mercer,"Barrel aromas are in the lead, with notes of toast, caf au lait, vanilla and caramel. The palate is full of cherry and barrel flavors, backed by lightly gritty tannins. Vanilla notes persist on the finish.",14.10%,2014
Red,US,Mercer 2014 Reserve Cavalie Red (Horse Heaven Hills),Bordeaux-style Red Blend,40,750 ml,87,Mercer,"Merlot (63%) makes up the majority of this wine, with the balance Cabernet Sauvignon (25%) and Malbec. Brooding aromas of herb, pencil lead, vanilla and spice are followed by dry dark-fruit flavors. The midpalate seems lacking, and the tannins show a touch of astringency.",14.70%,2014
White,US,Mercer 2015 Chardonnay (Horse Heaven Hills),Chardonnay,13,750 ml,87,Mercer,"Aromas of vanilla, baking spice, custard and pear lead to dry straw flavors. It delivers easy-drinking pleasure.",13.90%,2015
White,Italy,Palagetto 2014 Arianna Ventanni (Vernaccia di San Gimignano),Vernaccia,25,750 ml,87,Palagetto,"Subdued aromas of French oak, toast, tropical fruit and a whiff of dried herb carry follow over to the palate along with nuances of mature apple and citrus zest. A note of bitter almond closes the rather lean finish.",13%,2014
Red,Italy,Podere La Berta 2014 Solano Sangiovese (Romagna),Sangiovese,30,750 ml,87,Podere La Berta,"Subtle aromas suggesting scorched earth, black-skinned fruit and a hint of vanilla lead the nose while the straightforward palate delivers black plum, clove and a touch of cedar. Smooth tannins provide pliant support. Drink soon.",13.50%,2014
White,US,Spicy Vines 2016 Sunnydaze Sauvignon Blanc (Pine Mountain-Cloverdale Peak),Sauvignon Blanc,26,750 ml,87,Spicy Vines,"All stainless-steel fermented from grapes grown on a high-elevation site, this white offers a depth of green olive, dried herb and crisp apple within a context of moderate acidity.",13.20%,2016
Red,Italy,Tenuta Casali 2015 Palazzina Red (Romagna),Red Blend,17,750 ml,87,Tenuta Casali,"Made with 95% Sangiovese and 5% Merlot, this opens with delicate aromas of red currant and baking spice. The straightforward palate offers raspberry jam, clove and white pepper alongside rounded tannins. Enjoy soon.",14%,2015
Red,Italy,Trer 2015 Lona Bona Sangiovese (Romagna),Sangiovese,15,750 ml,87,Trer,This opens with aromas of black plum and baking spice that carry over to the straightforward palate together with a touch of pepper. Round tannins provide easygoing support. Drink soon.,13%,2015
Red,Italy,Trer 2015 Sperone Red (Romagna),Red Blend,18,750 ml,87,Trer,"Made with 85% Sangiovese and 15% Cabernet Sauvignon, this opens with aromas of black-skinned berry, underbrush and bell pepper. The straightforward palate shows black plum, tobacco and baking spice alongside round tannins. Drink soon.",14%,2015
Red,Italy,Vesevo 2012 Aglianico (Beneventano),Aglianico,16,750 ml,87,Vesevo,"Ripe blackberry, spiced plum, purple flower and vanilla aromas jump out of the glass. The palate is more restrained, showing dried cherry, clove and a hint of clove set against close-grained tannins. Drink sooner rather than later to capture the remaining fruit.",13%,2012
Rose,US,Vino La Monarcha 2016 Ros of Pinot Noir (Ancient Lakes),Pinot Noir,18,750 ml,87,Vino La Monarcha,"Pale pink in color, this wine brings aromas of strawberry Jolly Rancher and watermelon that are followed by a broad off-dry drinking palate. It delivers easy-drinking appeal.",13%,2016
Red,Portugal,Adega Cooperativa do Cartaxo 2015 Brido Classico Red (Tejo),Portuguese Red,30,750 ml,87,Adega Cooperativa do Cartaxo,"This open ripe wine is made for drinking young. Its soft red fruits, light tannins and acidity all come together in an easy fruity wine. Drink now.",14%,2015
Red,Italy,Assuli 2015 Lorlando Nero d'Avola (Terre Siciliane),Nero d'Avola,30,750 ml,87,Assuli,"This 100% Nero d'Avola opens with aromas of ripe black plum and tilled soil. The juicy palate offers ripe black cherry and blackberry, lightly accented with hints of white pepper. Enjoy soon.",13.50%,2015
White,Australia,Frisk 2015 Prickly Riesling (Alpine Valleys),Riesling,11,750 ml,87,Frisk,"Prickly refers to the wine's texture, which is definitely lightly frizzante (spritzy). That helps boost the wine's aromas, making it perfumed and floral, even Muscat-like. It's light in body and slightly off dry, with notes of apricot, apple blossom and gingery spice. Drink now.",9.70%,2015
Red,Australia,Gosford 2015 Reserve Shiraz (South Eastern Australia),Shiraz,11,750 ml,87,Gosford,"Plum and raspberry fruit, intriguing spice notes reminiscent of allspice and cardamom, and ample weight and suppleness make this bargain-priced offering a winner. Drink now.",14.40%,2015
Red,US,Merriam 2014 Cuve Pinot Noir (Russian River Valley),Pinot Noir,28,750 ml,87,Merriam,"This simple wine has juicy blueberry and baked cherry flavors at its core, a lushness on the palate that is supported by firm tannins and oak.",14.40%,2014
Red,Chile,Ventisquero 2014 Reserva Carmenre (Colchagua Valley),Carmenre,13,750 ml,87,Ventisquero,"Leafy aromas of field brush accent cassis, plum and oak-based clove scents. This feels obtuse and on the heavy side. Generic black-fruit flavors include a hint of raisin, while this Carmenre also tastes spicy and peppery. Baked berry flavors lead a chunky finish.",13.50%,2014
Red,US,Acacia 2014 Sangiacomo Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,50,750 ml,86,Acacia,"Brick in color, this vineyard-designate is thin and smooth, lightly spiced and earthy. Cardamom and blueberry figure in most prominently, with a back beat of minty sage.",14.50%,2014
White,Germany,P.J. Valckenberg 2015 Undone Dry Riesling (Rheinhessen),Riesling,10,750 ml,86,P.J. Valckenberg,"Pronounced dust, pollen and earth tones lend savoriness to this otherwise citrusy wine. Racy acidity and fresh tangerine and lemon flavors turn herbal on the finish. Drink now.",11.50%,2015
Red,Portugal,Parras Wines 2015 Evidncia Red (Do),Portuguese Red,10,750 ml,86,Parras Wines,"This simple wine blends the typical Do grapes of Alfrocheiro, Tinta Roriz and Touriga Nacional into a spicy fruity whole. Young and fruity with black currant and spice, it's finished with toast. This is ready to drink.",12.50%,2015
Red,US,Passaggio 2014 Blau Vineyards Merlot (Knights Valley),Merlot,55,750 ml,86,Passaggio,"Softened tannins surround a light-bodied, lean and herbal approach to this vineyard-designate, dotted in black pepper, leather and baked cherry.",13.80%,2014
Rose,Portugal,Quinta do Sagrado 2015 Sagrado Ros (Douro),Portuguese Ros,30,750 ml,86,Quinta do Sagrado,"This is a full, ripe wine. The rich red berry fruits contrast well with the crisp acidity and bright aftertaste. The wine is packed with fruit and ready to drink.",13.50%,2015
Red,US,Rock Wall 2014 Reserve Merlot (Stags Leap District),Merlot,75,750 ml,86,Rock Wall,"This high-end wine has a tenacious hold of earthiness, that exhibits as tomato leaf and dried herb. Full-bodied and densely concentrated, its tannins are smooth and fine, while the texture leans gravelly. Black pepper and leather characteristics are hard to ignore.",15.55%,2014
Rose,US,Z'IVO 2015 Ros of Pinot Noir (Eola-Amity Hills),Pinot Noir,25,750 ml,86,Z'IVO,"Some ross are made simply by bleeding the juice from the fermenter, to concentrate the remaining wine. Whether or not that is the case here, the wine has the simple pleasant lightly candied strawberry flavors one might expect from such a technique. It's fruity and undemanding. Drink up.",13.20%,2015
Red,US,Acacia 2014 Sangiacomo Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,50,750 ml,86,Acacia,"Brick in color, this vineyard-designate is thin and smooth, lightly spiced and earthy. Cardamom and blueberry figure in most prominently, with a back beat of minty sage.",14.50%,2014
Red,US,Alexander Valley Vineyards 2014 Estate Grown Cabernet Franc (Alexander Valley),Cabernet Franc,28,750 ml,86,Alexander Valley Vineyards,"Chalky and thick, this varietal wine offers a wealth of herbal, vegetative qualities while remaining medium-bodied in the glass, supplemented in violet and cassis.",14%,2014
Red,Portugal,Casa de Cambres 2014 Reserva Red (Douro),Portuguese Red,15,750 ml,86,Casa de Cambres,The wood aging shows strongly in this spicy wine. Besides bitter tannins it also gives the wine a minty character. It is young and hopefully the fruit will develop more and fill out this structure.,13.50%,2014
White,Chile,Domaines Barons de Rothschild (Lafite) 2016 Los Vascos Sauvignon Blanc (Casablanca Valley),Sauvignon Blanc,13,750 ml,86,Domaines Barons de Rothschild (Lafite),"Snappy aromas of citrus fruits and sweat are mildly but noticeably pyrazinic. This feels zesty, with citric acidity as the driving force. Tart limited citrus flavors turn more pithy and bitter on the finish.",13%,2016
