answer,title,clue
HULA,"New York Times, Thursday, June 30, 2016",Kind of skirt
EVER,"New York Times, Thursday, June 30, 2016",At any juncture
RETD,"New York Times, Thursday, June 30, 2016",Like many a capt. or gen.
CAME,"New York Times, Thursday, June 30, 2016",Showed
BORE,"New York Times, Thursday, June 30, 2016",Gun measure
IDNO,"New York Times, Thursday, June 30, 2016",Prisoner's assignment: Abbr.
GRAF,"New York Times, Thursday, June 30, 2016",Navratilova rival
ATOMS,"New York Times, Thursday, June 30, 2016",Subjects in quantum mechanics
DINAH,"New York Times, Thursday, June 30, 2016",1956 jazz/blues album with an exclamation point
OPERA,"New York Times, Thursday, June 30, 2016","""Porgy and Bess,"" e.g."
SAP,"New York Times, Thursday, June 30, 2016",Person taken for a fool
TARDE,"New York Times, Thursday, June 30, 2016","Afternoon, to Alejandro"
ALONG,"New York Times, Thursday, June 30, 2016",As a companion
RETAG,"New York Times, Thursday, June 30, 2016","Mark down, maybe"
THEN,"New York Times, Thursday, June 30, 2016",After that
OAK,"New York Times, Thursday, June 30, 2016",Royal ___ (Detroit suburb)
FLEA,"New York Times, Thursday, June 30, 2016",One having a small bite?
SPONGES,"New York Times, Thursday, June 30, 2016","Heavy drinkers, informally"
SILLYME,"New York Times, Thursday, June 30, 2016","""Gosh, what was I thinking?!"""
ENCLOSE,"New York Times, Thursday, June 30, 2016",Pen
DEBT,"New York Times, Thursday, June 30, 2016",Student woe
LIELOW,"New York Times, Thursday, June 30, 2016",Avoid the limelight
ABEL,"New York Times, Thursday, June 30, 2016",Biblical anagram of 55-Across
EBBS,"New York Times, Thursday, June 30, 2016",Falls back
AREA,"New York Times, Thursday, June 30, 2016",Bailiwick
RIDS,"New York Times, Thursday, June 30, 2016",Purges
ACED,"New York Times, Thursday, June 30, 2016",Nailed
IRON,"New York Times, Thursday, June 30, 2016","Weights, so to speak"
ZERO,"New York Times, Thursday, June 30, 2016","Loser, informally"
ADES,"New York Times, Thursday, June 30, 2016",Some sources of vitamin C
HWY,"New York Times, Thursday, June 30, 2016",Artery: Abbr.
ONS,"New York Times, Thursday, June 30, 2016",Walk-___
CARTHIEF,"New York Times, Thursday, July 28, 2016",Auto booster
PEAT,"New York Times, Thursday, July 28, 2016",It lends a smoky flavor to Scotch
PARTIES,"New York Times, Thursday, July 28, 2016",Has a ball
YANNI,"New York Times, Thursday, July 28, 2016",One-named musician who has performed at the Egyptian pyramids and the Taj Mahal
IDLE,"New York Times, Thursday, July 28, 2016",Kind of chat
OSLO,"New York Times, Thursday, July 28, 2016",___ Accords
CLEFT,"New York Times, Thursday, July 28, 2016","Like the rock in ""Rock of Ages"""
SAAR,"New York Times, Thursday, July 28, 2016",River across the French/German border
LALO,"New York Times, Thursday, July 28, 2016",Composer Schifrin
LORI,"New York Times, Thursday, July 28, 2016","Singer of ""Footloose"""
PAM,"New York Times, Thursday, July 28, 2016",Spray in a kitchen
STAYAT,"New York Times, Thursday, July 28, 2016","Patronize, as a hotel"
ESTEFAN,"New York Times, Thursday, July 28, 2016",Gloria of Miami Sound Machine
DEAR,"New York Times, Thursday, July 28, 2016",Sweetums
LETSGO,"New York Times, Thursday, July 28, 2016",Releases
KIOWA,"New York Times, Thursday, July 28, 2016",Plains tribe
BARTENDER,"New York Times, Thursday, July 28, 2016",One making the rounds?
ENMESHES,"New York Times, Thursday, July 28, 2016",Tangles up
EVE,"New York Times, Thursday, July 28, 2016",Day of planning
LOSTART,"New York Times, Thursday, July 28, 2016","Letter writing, they say ... or a hint to eight answers in this puzzle"
HTS,"New York Times, Thursday, July 28, 2016",Bklyn. ___
AEROFLOT,"New York Times, Thursday, July 28, 2016",One of the carriers in the SkyTeam alliance
THEARTIST,"New York Times, Thursday, July 28, 2016",Black-and-white Best Picture winner
KNORR,"New York Times, Thursday, July 28, 2016",Big name in soup
BYROAD,"New York Times, Thursday, July 28, 2016",Secondary route
VETS,"New York Times, Thursday, July 28, 2016",They're out of service
EATWELL,"New York Times, Thursday, July 28, 2016",Have a healthy diet
COPIER,"New York Times, Thursday, July 28, 2016",Cheating student
LSD,"New York Times, Thursday, July 28, 2016","Subtext of Jefferson Airplane's ""White Rabbit"""
AVIA,"New York Times, Thursday, July 28, 2016",Reebok competitor
ORAL,"New York Times, Thursday, July 28, 2016",Like some hygiene
ATIT,"New York Times, Thursday, July 28, 2016",Bickering
TRIPS,"New York Times, Thursday, July 28, 2016",Orbitz bookings
MEWL,"New York Times, Thursday, July 28, 2016",Whimper
MAME,"New York Times, Thursday, July 28, 2016","Musical with the song ""It's Today"""
ADAPT,"New York Times, Thursday, July 28, 2016",Evolve
PARTONE,"New York Times, Thursday, July 28, 2016",Series opener
PROD,"New York Times, Thursday, July 28, 2016",Spur
MARTINIS,"New York Times, Thursday, July 28, 2016",Bond orders
CYCLE,"New York Times, Thursday, July 28, 2016","New moon to new moon, e.g."
HALOS,"New York Times, Thursday, July 28, 2016",Celestial rings
INERT,"New York Times, Thursday, July 28, 2016",Unmoving
ENFIELD,"New York Times, Thursday, July 28, 2016",W.W. I rifle
FIT,"New York Times, Thursday, July 28, 2016",Honda offering
PARTISANS,"New York Times, Thursday, July 28, 2016",Ones taking sides
EDAM,"New York Times, Thursday, July 28, 2016",Cheese used in Babybels
ALA,"New York Times, Thursday, July 28, 2016",Like
TERSE,"New York Times, Thursday, July 28, 2016",Not windy
POLARIS,"New York Times, Thursday, July 28, 2016",Guiding light
ISAY,"New York Times, Thursday, July 28, 2016",British interjection
ELLA,"New York Times, Thursday, July 28, 2016",Scatter?
SOOT,"New York Times, Thursday, July 28, 2016",Shade of black
PATROL,"New York Times, Thursday, July 28, 2016",Keep the beat?
TAKETHAT,"New York Times, Thursday, July 28, 2016","""So there!"""
FEELFREE,"New York Times, Thursday, July 28, 2016","""Help yourself"""
DONA,"New York Times, Thursday, July 28, 2016",Lady of Brazil
GETTY,"New York Times, Thursday, July 28, 2016",L.A.'s ___ Museum
OHHI,"New York Times, Thursday, July 28, 2016","""Didn't think you'd be here"""
WETS,"New York Times, Thursday, July 28, 2016","Dips in a bucket, say"
ASST,"New York Times, Thursday, July 28, 2016",Second hand: Abbr.
BEAK,"New York Times, Thursday, July 28, 2016",Schnozz
EVEN,"New York Times, Thursday, July 28, 2016",What people who are hurt may try to get
NERO,"New York Times, Thursday, July 28, 2016",Enemy of the early Christians
MRTOAD,"New York Times, Thursday, July 28, 2016","Squire of ""The Wind in the Willows"""
SOBS,"New York Times, Thursday, July 28, 2016",Breaks down
ORVILLE,"New York Times, Thursday, July 28, 2016",First name in popcorn
EDWARDI,"New York Times, Thursday, July 28, 2016",King nicknamed Longshanks
RESTARTED,"New York Times, Thursday, July 28, 2016",Went back to square one
TRAMP,"New York Times, Thursday, July 28, 2016",Vagabond
EVIAN,"New York Times, Thursday, July 28, 2016",Fiji alternative
LIPPI,"New York Times, Thursday, July 28, 2016",Florentine painter
LASTS,"New York Times, Thursday, July 28, 2016",Holds up
COMP,"New York Times, Thursday, July 28, 2016",Give gratis
OREO,"New York Times, Thursday, July 28, 2016",Ice cream flavor
PAWN,"New York Times, Thursday, July 28, 2016","Get some quick money for, say"
LIMO,"New York Times, Thursday, July 28, 2016",Member of a motorcade
TAR,"New York Times, Thursday, July 28, 2016",Besmirch
TAM,"New York Times, Thursday, July 28, 2016",Skye cap
FINN,"New York Times, Wednesday, July 20, 2016","Markka spender, once"
BURB,"New York Times, Wednesday, July 20, 2016","Home to many commuters, for short"
KEBAB,"New York Times, Wednesday, July 20, 2016",Skewered fare
OREO,"New York Times, Wednesday, July 20, 2016",Snack sometimes eaten from the inside out
USER,"New York Times, Wednesday, July 20, 2016",Exploitative sort
AROMA,"New York Times, Wednesday, July 20, 2016",Sachet's quality
ORBS,"New York Times, Wednesday, July 20, 2016",Partners of scepters
RHEA,"New York Times, Wednesday, July 20, 2016",Moon of Saturn
RIGEL,"New York Times, Wednesday, July 20, 2016",Brightest spot in Orion
DIRECTED,"New York Times, Wednesday, July 20, 2016",Ran
BACALL,"New York Times, Wednesday, July 20, 2016","11-Down's partner in life and in ""To Have and Have Not"""
TAYLOR,"New York Times, Wednesday, July 20, 2016","5-Down's partner in life and in ""The Taming of the Shrew"""
BET,"New York Times, Wednesday, July 20, 2016",Get into the pool?
RIO,"New York Times, Wednesday, July 20, 2016","Ipanema's locale, for short"
GAS,"New York Times, Wednesday, July 20, 2016",Many a noble element
ENSOUL,"New York Times, Wednesday, July 20, 2016",Fill with a spirit
STAT,"New York Times, Wednesday, July 20, 2016",".215 batting avg., e.g."
INKIN,"New York Times, Wednesday, July 20, 2016","Finish, as a tattoo"
ADLAI,"New York Times, Wednesday, July 20, 2016",Two-time opponent of Dwight
STARCROSSEDLOVE,"New York Times, Wednesday, July 20, 2016",Relationship doomed from the start ... or something found in this puzzle four times?
KHAKI,"New York Times, Wednesday, July 20, 2016",Uniform shade
DOPEY,"New York Times, Wednesday, July 20, 2016",Youngest dwarf
DAMS,"New York Times, Wednesday, July 20, 2016",Creators of artificial lakes
WASABI,"New York Times, Wednesday, July 20, 2016",Sushi bar condiment
ENE,"New York Times, Wednesday, July 20, 2016",Suffix with ethyl
EEO,"New York Times, Wednesday, July 20, 2016",Fairness-in-hiring letters
SLY,"New York Times, Wednesday, July 20, 2016",Like some winks and grins
BENING,"New York Times, Wednesday, July 20, 2016","47-Down's partner in life and in ""Bugsy"""
ERUPTS,"New York Times, Wednesday, July 20, 2016",Blows one's stack
GRASSFED,"New York Times, Wednesday, July 20, 2016","Like beef cattle, dietarily"
JOLIE,"New York Times, Wednesday, July 20, 2016","54-Down's partner in life and in ""Mr. and Mrs. Smith"""
MOOT,"New York Times, Wednesday, July 20, 2016",Worth debating - or not
LIFE,"New York Times, Wednesday, July 20, 2016",Long sentence
ABITE,"New York Times, Wednesday, July 20, 2016",Grab ___ (eat on the run)
BOAT,"New York Times, Wednesday, July 20, 2016",Punt or junk
ARUN,"New York Times, Wednesday, July 20, 2016",Give ___ for one's money
YENTL,"New York Times, Wednesday, July 20, 2016",Gender-bending Streisand title role
ANDY,"New York Times, Wednesday, July 20, 2016","Garcia of ""Ocean's ..."" movies"
MELT,"New York Times, Wednesday, July 20, 2016",Go soft
FOOD,"New York Times, Wednesday, July 20, 2016",What's spread in a spread
IRRITANT,"New York Times, Wednesday, July 20, 2016","Smoke in one's eyes, say"
NEBRASKA,"New York Times, Wednesday, July 20, 2016",Lincoln's locale
NOSEY,"New York Times, Wednesday, July 20, 2016",Like a buttinsky
BURTON,"New York Times, Wednesday, July 20, 2016",See 23-Across
USHERS,"New York Times, Wednesday, July 20, 2016",Theater staff
REED,"New York Times, Wednesday, July 20, 2016","English horn, for one"
BRA,"New York Times, Wednesday, July 20, 2016",Garment with underwires
KARAT,"New York Times, Wednesday, July 20, 2016",Jeweler's unit
ERIC,"New York Times, Wednesday, July 20, 2016","Bana of ""Troy"""
BOGART,"New York Times, Wednesday, July 20, 2016",See 22-Across
AMELIA,"New York Times, Wednesday, July 20, 2016",___ Bedelia (children's book character)
BALLOT,"New York Times, Wednesday, July 20, 2016","Where ""X"" may mark the spot"
CLENCH,"New York Times, Wednesday, July 20, 2016",Grip tightly
BELLE,"New York Times, Wednesday, July 20, 2016",Ball girl
BUDS,"New York Times, Wednesday, July 20, 2016",Springtime arrivals
GIS,"New York Times, Wednesday, July 20, 2016",U.S.O. show attendees
OASIS,"New York Times, Wednesday, July 20, 2016",Spring that's unusually warm?
SILO,"New York Times, Wednesday, July 20, 2016",Missile's home
IRKS,"New York Times, Wednesday, July 20, 2016",Vexes
ADDINS,"New York Times, Wednesday, July 20, 2016",Functionality-enhancing computer products
RAWLS,"New York Times, Wednesday, July 20, 2016","Lou who sang ""A Natural Man"""
OKAY,"New York Times, Wednesday, July 20, 2016","""Deal!"""
OPENFIRE,"New York Times, Wednesday, July 20, 2016",Order to a gun crew
VENGEFUL,"New York Times, Wednesday, July 20, 2016",Looking to get even
EYE,"New York Times, Wednesday, July 20, 2016","One of 100 for Argus, in myth"
DEEJAY,"New York Times, Wednesday, July 20, 2016",Tunes player
AEROBE,"New York Times, Wednesday, July 20, 2016",Oxygen-dependent organism
MOULIN,"New York Times, Wednesday, July 20, 2016",___ Rouge (Paris cabaret)
ABROAD,"New York Times, Wednesday, July 20, 2016",Where expats live
BEATTY,"New York Times, Wednesday, July 20, 2016",See 51-Across
STEEL,"New York Times, Wednesday, July 20, 2016",Gird (oneself)
ISLAM,"New York Times, Wednesday, July 20, 2016",Hajji's religion
PITT,"New York Times, Wednesday, July 20, 2016",See 57-Across
GOON,"New York Times, Wednesday, July 20, 2016","""Continue ..."""
DENT,"New York Times, Wednesday, July 20, 2016",Ding
MBA,"New York Times, Wednesday, July 20, 2016",Deg. from Wharton
ACROBATS,"New York Times, Saturday, July 23, 2016",Those falling head over heels?
TIFFS,"New York Times, Saturday, July 23, 2016",Little rows
FRENEMIES,"New York Times, Saturday, July 23, 2016","Ones with love-hate relationships, say"
ELLIE,"New York Times, Saturday, July 23, 2016",Pop singer Goulding
FAMILYGUY,"New York Times, Saturday, July 23, 2016",Show on which Adam West voices Mayor Adam West
LIANE,"New York Times, Saturday, July 23, 2016","Actress Balaban of ""Supernatural"""
ENACT,"New York Times, Saturday, July 23, 2016",Make a measure of
HRS,"New York Times, Saturday, July 23, 2016",Shift specification: Abbr.
LAMAS,"New York Times, Saturday, July 23, 2016",Some temple figures
CINE,"New York Times, Saturday, July 23, 2016",Csar subject
STACK,"New York Times, Saturday, July 23, 2016",Measure (up)
DELT,"New York Times, Saturday, July 23, 2016","Press target, informally"
TAD,"New York Times, Saturday, July 23, 2016",Soupon
KOWTOWS,"New York Times, Saturday, July 23, 2016",Is a kiss-up
WBA,"New York Times, Saturday, July 23, 2016",Org. awarding 5-Downs
TUBAS,"New York Times, Saturday, July 23, 2016",Bass brass
AUPAIR,"New York Times, Saturday, July 23, 2016",Foreign aide
SLIMMED,"New York Times, Saturday, July 23, 2016",Reduced
INNARDS,"New York Times, Saturday, July 23, 2016",Guts
KITCAR,"New York Times, Saturday, July 23, 2016",Do-it-yourself wheels
ANZIO,"New York Times, Saturday, July 23, 2016",W.W. II landing site in Italy
IVS,"New York Times, Saturday, July 23, 2016","Hookups on ""House"""
RUFFIAN,"New York Times, Saturday, July 23, 2016",Tough
BUM,"New York Times, Saturday, July 23, 2016",Malfunctioning
LEAN,"New York Times, Saturday, July 23, 2016",Like venison
PARTA,"New York Times, Saturday, July 23, 2016","First division, maybe"
RAMA,"New York Times, Saturday, July 23, 2016",Hindu embodiment of virtue
LASIK,"New York Times, Saturday, July 23, 2016",Procedure improving one's looks?
GOI,"New York Times, Saturday, July 23, 2016","""Let me ___ pray thee"": Exodus 4:18"
CARPS,"New York Times, Saturday, July 23, 2016",Picks nits
SLICE,"New York Times, Saturday, July 23, 2016",Golfer's error
IPADMINIS,"New York Times, Saturday, July 23, 2016",Some small tablets
EIGHT,"New York Times, Saturday, July 23, 2016",Power of two
NOTSOSURE,"New York Times, Saturday, July 23, 2016",Hesitant
TENET,"New York Times, Saturday, July 23, 2016",Something to believe in
PETNAMES,"New York Times, Saturday, July 23, 2016","Princess and angel, e.g."
AFFECT,"New York Times, Saturday, July 23, 2016",Move
CRANIA,"New York Times, Saturday, July 23, 2016",Holders of thoughts?
REMAND,"New York Times, Saturday, July 23, 2016",Order back
ONICE,"New York Times, Saturday, July 23, 2016",Shelved
BELT,"New York Times, Saturday, July 23, 2016",Supporting strip
AMY,"New York Times, Saturday, July 23, 2016","She anchored ""Weekend Update"" with Tina, then Seth"
TIGHTWAD,"New York Times, Saturday, July 23, 2016",Scrooge
SEURATS,"New York Times, Saturday, July 23, 2016","""Bathers at Asnires"" and ""Parade de Cirque"""
TELL,"New York Times, Saturday, July 23, 2016",Game giveaway
ILIAD,"New York Times, Saturday, July 23, 2016",24-book classic
FLAMEWAR,"New York Times, Saturday, July 23, 2016",What a troll may perpetuate
FINALBID,"New York Times, Saturday, July 23, 2016",Preceder of the sound of a gavel
SEESTARS,"New York Times, Saturday, July 23, 2016",Be in shock from a sock
SYSCO,"New York Times, Saturday, July 23, 2016",Biggest rival of US Foods
SOBERUP,"New York Times, Saturday, July 23, 2016",Recover after being wrecked
KWANZAA,"New York Times, Saturday, July 23, 2016",Year-end tradition since 1966
KUMAR,"New York Times, Saturday, July 23, 2016",Half of a 2000s stoner-film duo
SUNIN,"New York Times, Saturday, July 23, 2016",Longtime hair lightener brand
TMC,"New York Times, Saturday, July 23, 2016",Alternative to Flix
PAO,"New York Times, Saturday, July 23, 2016",Kung ___ beef
SKILLSET,"New York Times, Saturday, July 23, 2016",Things that one is good at
LIVEALIE,"New York Times, Saturday, July 23, 2016",Be what one isn't
ITSASIGN,"New York Times, Saturday, July 23, 2016",Prognostication proclamation
INITIATE,"New York Times, Saturday, July 23, 2016",Start
AFROPOP,"New York Times, Saturday, July 23, 2016",Music genre for Miriam Makeba
FAGIN,"New York Times, Saturday, July 23, 2016","Charley Bates's mentor, in literature"
BARNUM,"New York Times, Saturday, July 23, 2016","Musical with the song ""There's a Sucker Born Ev'ry Minute"""
UMPIRE,"New York Times, Saturday, July 23, 2016",One often accused of being blind
MASSES,"New York Times, Saturday, July 23, 2016",Rank and file
NICHE,"New York Times, Saturday, July 23, 2016",Something to carve out
RAISA,"New York Times, Saturday, July 23, 2016",First lady Barbara's Russian counterpart
KETT,"New York Times, Saturday, July 23, 2016",Last name in the funnies for nearly 50 years
CMON,"New York Times, Saturday, July 23, 2016","""Let's go!"""
DST,"New York Times, Saturday, July 23, 2016",Ariz. doesn't observe it
BLAH,"New York Times, Wednesday, June 29, 2016",Opposite of exciting
ASS,"New York Times, Wednesday, June 29, 2016",Jerk
CARAT,"New York Times, Wednesday, June 29, 2016","100 points, to a jeweler"
LOLA,"New York Times, Wednesday, June 29, 2016","Who sings ""A Little Brains, A Little Talent"" in ""Damn Yankees"""
EPA,"New York Times, Wednesday, June 29, 2016",Fuel economy org.
MURALS,"New York Times, Wednesday, June 29, 2016",Unhung paintings
OPTIONAL,"New York Times, Wednesday, June 29, 2016",Not required
TRIVIA,"New York Times, Wednesday, June 29, 2016",___ night (bar attraction)
WEATHERVANE,"New York Times, Wednesday, June 29, 2016",It's on the house
EAR,"New York Times, Wednesday, June 29, 2016",Mr. Potato Head piece
IBISES,"New York Times, Wednesday, June 29, 2016",Objects of religious veneration in ancient Egypt
AIR,"New York Times, Wednesday, June 29, 2016",Outer space's lack
SHE,"New York Times, Wednesday, June 29, 2016","""That's all ___ wrote"""
ODE,"New York Times, Wednesday, June 29, 2016","Thomas Gray's ""___ on the Spring"""
COLLEGE,"New York Times, Wednesday, June 29, 2016",Emerson or Dickinson
CAMAY,"New York Times, Wednesday, June 29, 2016","Brand once billed as ""the soap of beautiful women"""
BOWLOVER,"New York Times, Wednesday, June 29, 2016",Flabbergast
AMPS,"New York Times, Wednesday, June 29, 2016",Some sound equipment
EMOTE,"New York Times, Wednesday, June 29, 2016",Overplay
SILO,"New York Times, Wednesday, June 29, 2016","Fodder's place, but not a mudder's"
BUTTDIAL,"New York Times, Wednesday, June 29, 2016","Call inadvertently, in a way"
STEED,"New York Times, Wednesday, June 29, 2016",Part of many a general's statue
SPYRING,"New York Times, Wednesday, June 29, 2016",Clandestine network
MEL,"New York Times, Wednesday, June 29, 2016",Blanc who voiced Daffy Duck
WEE,"New York Times, Wednesday, June 29, 2016",Itsy-bitsy
COG,"New York Times, Wednesday, June 29, 2016",Tooth that turns
MAORIS,"New York Times, Wednesday, June 29, 2016",Some New Zealanders
ASH,"New York Times, Wednesday, June 29, 2016",Fire residue
DEADBATTERY,"New York Times, Wednesday, June 29, 2016",It carries no charge
LEADEN,"New York Times, Wednesday, June 29, 2016",Like feet after a long trek
MISSACUE,"New York Times, Wednesday, June 29, 2016",Drop the ball onstage
PAINED,"New York Times, Wednesday, June 29, 2016",Evincing discomfort
ALE,"New York Times, Wednesday, June 29, 2016",Pub offering
BREW,"New York Times, Wednesday, June 29, 2016",Pub offering
STRAP,"New York Times, Wednesday, June 29, 2016",Book bag part
NED,"New York Times, Wednesday, June 29, 2016",Actor Beatty
SUDS,"New York Times, Wednesday, June 29, 2016",Pub offering
BLOW,"New York Times, Wednesday, June 29, 2016",Serious punch
LOPE,"New York Times, Wednesday, June 29, 2016",Easy gait
ALTA,"New York Times, Wednesday, June 29, 2016",Opposite of baja
HAITI,"New York Times, Wednesday, June 29, 2016",Half of Hispaniola
AENEID,"New York Times, Wednesday, June 29, 2016",Work in which Dido died
SPARSE,"New York Times, Wednesday, June 29, 2016",Thinly distributed
SALVE,"New York Times, Wednesday, June 29, 2016",Balm
CUREALL,"New York Times, Wednesday, June 29, 2016",Panacea
ARI,"New York Times, Wednesday, June 29, 2016","Cardinals, in stats"
RAVEREVIEW,"New York Times, Wednesday, June 29, 2016",It's complimentary
ALIA,"New York Times, Wednesday, June 29, 2016",Et ___ (and others)
TSAR,"New York Times, Wednesday, June 29, 2016","Despised figure in ""Fiddler on the Roof"""
MTN,"New York Times, Wednesday, June 29, 2016",Abbr. in cartography
OHBOY,"New York Times, Wednesday, June 29, 2016","""What fun!"""
ASCOT,"New York Times, Wednesday, June 29, 2016",Natty neckwear
ILOST,"New York Times, Wednesday, June 29, 2016","""You beat me"""
SCABS,"New York Times, Wednesday, June 29, 2016",Signs of healing
HAMUP,"New York Times, Wednesday, June 29, 2016",Overplay
EMPTYCHAIR,"New York Times, Wednesday, June 29, 2016",It's free
OWE,"New York Times, Wednesday, June 29, 2016",Have bills
GELEE,"New York Times, Wednesday, June 29, 2016",Hair goop
ERODE,"New York Times, Wednesday, June 29, 2016","Weaken, as confidence"
ASTRO,"New York Times, Wednesday, June 29, 2016","""___ Boy"" (1960s cartoon series)"
BOL,"New York Times, Wednesday, June 29, 2016",Neighbor of Peru: Abbr.
EIN,"New York Times, Wednesday, June 29, 2016",___ bisschen (not much: Ger.)
MAGMA,"New York Times, Wednesday, June 29, 2016",Soft rock?
DIGDEEP,"New York Times, Wednesday, June 29, 2016",Try one's utmost
SLITS,"New York Times, Wednesday, June 29, 2016",Some vents
MOBILE,"New York Times, Wednesday, June 29, 2016","Cellphone, to a Brit"
ERASED,"New York Times, Wednesday, June 29, 2016",Deleted
ADMAN,"New York Times, Wednesday, June 29, 2016",Worker at Omnicom Group
STABS,"New York Times, Wednesday, June 29, 2016",Wild guesses
ALPS,"New York Times, Wednesday, June 29, 2016",Range of the von Trapp singers
SEAT,"New York Times, Wednesday, June 29, 2016",Usher's destination
END,"New York Times, Wednesday, June 29, 2016",Goal
ECRU,"New York Times, Wednesday, June 29, 2016",Eggshell shade
RUED,"New York Times, Wednesday, June 29, 2016",Regretted
YEWS,"New York Times, Wednesday, June 29, 2016",Trees with red berrylike fruit
DNA,"New York Times, Wednesday, June 29, 2016",Modern aid in anthropology
HAHA,"New York Times, Tuesday, August 2, 2016",Reaction to a crack
CAPER,"New York Times, Tuesday, August 2, 2016",Pickled garnish
PICT,"New York Times, Tuesday, August 2, 2016",Briton of old
IBET,"New York Times, Tuesday, August 2, 2016","""Uh-huh, sure it is"""
ALINE,"New York Times, Tuesday, August 2, 2016",Fashion cut
ONOR,"New York Times, Tuesday, August 2, 2016",___ about (approximately)
COLLARLESS,"New York Times, Tuesday, August 2, 2016",What the beat cop didn't want to be?
OHMY,"New York Times, Tuesday, August 2, 2016","""Good heavens!"""
PURE,"New York Times, Tuesday, August 2, 2016",Sheer
RUTHLESS,"New York Times, Tuesday, August 2, 2016",What the 1920s Yankees didn't want to be?
MILNE,"New York Times, Tuesday, August 2, 2016",Christopher Robin's creator
FOE,"New York Times, Tuesday, August 2, 2016",No friend
ECLAT,"New York Times, Tuesday, August 2, 2016",Sparkling effect
THECAPE,"New York Times, Tuesday, August 2, 2016",Martha's Vineyard alternative
FAULTS,"New York Times, Tuesday, August 2, 2016",Serving goofs in tennis
GOSH,"New York Times, Tuesday, August 2, 2016","""Wow!"""
ASARULE,"New York Times, Tuesday, August 2, 2016",Generally speaking
EPS,"New York Times, Tuesday, August 2, 2016","Short albums, for short"
ARTLESS,"New York Times, Tuesday, August 2, 2016",What the museum curator didn't want to be?
SOB,"New York Times, Tuesday, August 2, 2016",Have a bawl
GUESSAT,"New York Times, Tuesday, August 2, 2016",Try to answer or estimate
SEGA,"New York Times, Tuesday, August 2, 2016",Onetime Nintendo rival
ASPIRE,"New York Times, Tuesday, August 2, 2016",Harbor high hopes
MYSTARS,"New York Times, Tuesday, August 2, 2016","""Good heavens!"""
LHASA,"New York Times, Tuesday, August 2, 2016",Tibetan capital
IOS,"New York Times, Tuesday, August 2, 2016",Apple devices run on it
TIMES,"New York Times, Tuesday, August 2, 2016","V and X, on a sundial"
BASELESS,"New York Times, Tuesday, August 2, 2016",What the G.I. didn't want to be?
CALL,"New York Times, Tuesday, August 2, 2016",Phone
ENCL,"New York Times, Tuesday, August 2, 2016",Business letter abbr.
MOTIONLESS,"New York Times, Tuesday, August 2, 2016",What the trial attorney didn't want to be?
RIAL,"New York Times, Tuesday, August 2, 2016",Mideast money
ALERT,"New York Times, Tuesday, August 2, 2016","Incoming text ding, e.g."
USER,"New York Times, Tuesday, August 2, 2016",___ ID
TALE,"New York Times, Tuesday, August 2, 2016",Chaucer offering
GARRY,"New York Times, Tuesday, August 2, 2016",Cartoonist Trudeau
PSAS,"New York Times, Tuesday, August 2, 2016","Pro bono spots, briefly"
HIC,"New York Times, Tuesday, August 2, 2016",Sot's sound
ABO,"New York Times, Tuesday, August 2, 2016",Blood-typing letters
HELPLESS,"New York Times, Tuesday, August 2, 2016",What the mansion owner didn't want to be?
ATLUNCH,"New York Times, Tuesday, August 2, 2016","Out for a bite, maybe"
CARE,"New York Times, Tuesday, August 2, 2016",Worry
ALL,"New York Times, Tuesday, August 2, 2016",100%
PIERO,"New York Times, Tuesday, August 2, 2016",Painter ___ di Cosimo
ENSUE,"New York Times, Tuesday, August 2, 2016",Happen next
REST,"New York Times, Tuesday, August 2, 2016",Chill
POOLCUE,"New York Times, Tuesday, August 2, 2016",It has a tip for players in the game room
INHELL,"New York Times, Tuesday, August 2, 2016","Suffering, figuratively"
COMSAT,"New York Times, Tuesday, August 2, 2016",Orbiting info relayer
TRYSTS,"New York Times, Tuesday, August 2, 2016",Assignations
AREA,"New York Times, Tuesday, August 2, 2016",Something a line lacks
HEALS,"New York Times, Tuesday, August 2, 2016",Makes better
MTGE,"New York Times, Tuesday, August 2, 2016",Part of F.N.M.A.: Abbr.
IHOP,"New York Times, Tuesday, August 2, 2016",Denny's alternative
FESTS,"New York Times, Tuesday, August 2, 2016",Fun gatherings
PAREE,"New York Times, Tuesday, August 2, 2016",Gay ___
FUSTY,"New York Times, Tuesday, August 2, 2016",Rigidly old-fashioned
ALS,"New York Times, Tuesday, August 2, 2016","Lou Gehrig's disease, for short"
REAMS,"New York Times, Tuesday, August 2, 2016",Bawls (out)
AURAL,"New York Times, Tuesday, August 2, 2016",Heard only
SEAMLESS,"New York Times, Tuesday, August 2, 2016",What the coal company didn't want to be?
OGRE,"New York Times, Tuesday, August 2, 2016",Tyrannical sort
BASS,"New York Times, Tuesday, August 2, 2016",One who can't hit high pitches?
GISELLE,"New York Times, Tuesday, August 2, 2016","Princess in Disney's ""Enchanted"""
STILLUP,"New York Times, Tuesday, August 2, 2016",Not yet slumbering
ALBERT,"New York Times, Tuesday, August 2, 2016",Queen Victoria's husband
SHANIA,"New York Times, Tuesday, August 2, 2016","""Any Man of Mine"" singer Twain"
PASCAL,"New York Times, Tuesday, August 2, 2016",French mathematician Blaise
STAN,"New York Times, Tuesday, August 2, 2016",Tennis great Smith
ISOLA,"New York Times, Tuesday, August 2, 2016","Sicilia, for one"
